Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-12,10:00 PM,Away,San Jose Sharks,2,0,W,,1,0,0,W 1,17016,2:28,
2,2024-10-13,10:00 PM,Away,Vegas Golden Knights,1,3,L,,1,1,0,L 1,18027,2:19,
3,2024-10-16,10:00 PM,Home,Utah Hockey Club,5,4,W,OT,2,1,0,W 1,17245,2:44,
4,2024-10-18,9:00 PM,Away,Colorado Avalanche,3,4,L,OT,2,1,1,L 1,18071,2:37,
5,2024-10-20,8:00 PM,Home,Los Angeles Kings,1,4,L,,2,2,1,L 2,16098,2:22,
6,2024-10-22,10:15 PM,Home,San Jose Sharks,3,1,W,,3,2,1,W 1,17174,2:40,
7,2024-10-26,7:00 PM,Away,New York Rangers,1,2,L,,3,3,1,L 1,18006,2:32,
8,2024-10-27,7:00 PM,Away,New Jersey Devils,2,6,L,,3,4,1,L 2,14344,2:31,
9,2024-10-29,7:00 PM,Away,New York Islanders,3,1,W,,4,4,1,W 1,14234,2:27,
10,2024-10-31,7:00 PM,Away,Pittsburgh Penguins,1,2,L,OT,4,4,2,L 1,14945,2:32,
11,2024-11-03,8:00 PM,Home,Chicago Blackhawks,2,4,L,,4,5,2,L 2,16352,2:23,
12,2024-11-05,10:00 PM,Home,Vancouver Canucks,1,5,L,,4,6,2,L 3,13538,2:30,
13,2024-11-08,10:00 PM,Home,Minnesota Wild,2,5,L,,4,7,2,L 4,14706,2:22,
14,2024-11-10,8:00 PM,Home,Columbus Blue Jackets,4,2,W,,5,7,2,W 1,16153,2:27,
15,2024-11-13,10:00 PM,Home,Vegas Golden Knights,2,3,L,,5,8,2,L 1,13153,2:25,
16,2024-11-15,10:00 PM,Home,Detroit Red Wings,6,4,W,,6,8,2,W 1,14154,2:29,
17,2024-11-18,8:00 PM,Away,Dallas Stars,4,2,W,,7,8,2,W 2,18532,2:29,
18,2024-11-19,8:30 PM,Away,Chicago Blackhawks,3,2,W,,8,8,2,W 3,17712,2:22,
19,2024-11-22,10:00 PM,Home,Buffalo Sabres,2,3,L,OT,8,8,3,L 1,13776,2:27,
20,2024-11-25,10:00 PM,Home,Seattle Kraken,2,3,L,,8,9,3,L 2,15331,2:27,
21,2024-11-27,10:00 PM,Away,Seattle Kraken,5,2,W,,9,9,3,W 1,17151,2:37,
22,2024-11-29,3:30 PM,Home,Los Angeles Kings,1,2,L,,9,10,3,L 1,17174,2:25,
23,2024-12-01,8:00 PM,Home,Ottawa Senators,4,3,W,SO,10,10,3,W 1,15144,2:39,
24,2024-12-04,10:00 PM,Home,Vegas Golden Knights,1,4,L,,10,11,3,L 1,13188,2:23,
25,2024-12-06,10:00 PM,Home,Minnesota Wild,1,5,L,,10,12,3,L 2,15171,2:28,
26,2024-12-09,7:30 PM,Away,Montreal Canadiens,2,3,L,SO,10,12,4,L 3,21105,2:39,
27,2024-12-11,7:30 PM,Away,Ottawa Senators,1,5,L,,10,13,4,L 4,16893,2:31,
28,2024-12-12,7:00 PM,Away,Toronto Maple Leafs,2,3,L,,10,14,4,L 5,18688,2:23,
