Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-08,7:00 PM,Away,Florida Panthers,4,6,L,,0,1,0,L 1,19813,2:39,
2,2024-10-10,7:00 PM,Home,Montreal Canadiens,6,4,W,,1,1,0,W 1,17850,2:44,
3,2024-10-12,1:00 PM,Home,Los Angeles Kings,2,1,W,OT,2,1,0,W 2,17850,2:28,
4,2024-10-14,1:00 PM,Home,Florida Panthers,3,4,L,,2,2,0,L 1,17850,2:36,
5,2024-10-16,9:30 PM,Away,Colorado Avalanche,5,3,W,,3,2,0,W 1,18024,2:34,
6,2024-10-19,9:00 PM,Away,Utah Hockey Club,1,2,L,OT,3,2,1,L 1,11131,2:30,
7,2024-10-22,8:45 PM,Away,Nashville Predators,0,4,L,,3,3,1,L 2,17184,2:26,
8,2024-10-24,7:00 PM,Home,Dallas Stars,2,5,L,,3,4,1,L 3,17850,2:27,
9,2024-10-26,7:00 PM,Home,Toronto Maple Leafs,4,3,W,OT,4,4,1,W 1,17850,2:38,
10,2024-10-29,7:00 PM,Home,Philadelphia Flyers,0,2,L,,4,5,1,L 1,17850,2:30,
11,2024-10-31,7:00 PM,Away,Carolina Hurricanes,2,8,L,,4,6,1,L 2,18700,2:39,
12,2024-11-02,1:00 PM,Away,Philadelphia Flyers,3,0,W,,5,6,1,W 1,17429,2:26,
13,2024-11-03,5:00 PM,Home,Seattle Kraken,2,0,W,,6,6,1,W 2,17850,2:38,
14,2024-11-05,7:00 PM,Away,Toronto Maple Leafs,0,4,L,,6,7,1,L 1,18730,2:35,
15,2024-11-07,7:00 PM,Home,Calgary Flames,4,3,W,OT,7,7,1,W 1,17850,2:40,
16,2024-11-09,7:00 PM,Home,Ottawa Senators,2,3,L,OT,7,7,2,L 1,17850,2:32,
17,2024-11-12,8:00 PM,Away,St. Louis Blues,3,2,W,,8,7,2,W 1,18096,2:27,
18,2024-11-14,8:00 PM,Away,Dallas Stars,2,7,L,,8,8,2,L 1,18532,2:33,
19,2024-11-16,1:00 PM,Home,St. Louis Blues,2,3,L,OT,8,8,3,L 2,17850,2:39,
20,2024-11-18,7:00 PM,Home,Columbus Blue Jackets,1,5,L,,8,9,3,L 3,17850,2:32,
21,2024-11-21,7:00 PM,Home,Utah Hockey Club,1,0,W,,9,9,3,W 1,17850,2:34,
22,2024-11-23,7:00 PM,Away,Detroit Red Wings,2,1,W,,10,9,3,W 2,19515,2:31,
23,2024-11-26,7:00 PM,Home,Vancouver Canucks,0,2,L,,10,10,3,L 1,17850,2:36,
24,2024-11-27,7:30 PM,Away,New York Islanders,6,3,W,,11,10,3,W 1,16145,2:25,
25,2024-11-29,6:30 PM,Home,Pittsburgh Penguins,1,2,L,,11,11,3,L 1,17850,2:31,
26,2024-12-01,3:00 PM,Home,Montreal Canadiens,6,3,W,,12,11,3,W 1,17850,2:33,
27,2024-12-03,7:00 PM,Home,Detroit Red Wings,3,2,W,OT,13,11,3,W 2,17950,2:44,
28,2024-12-04,7:30 PM,Away,Chicago Blackhawks,4,2,W,,14,11,3,W 3,19179,2:22,
29,2024-12-07,1:00 PM,Home,Philadelphia Flyers,4,3,W,OT,15,11,3,W 4,17850,2:38,
30,2024-12-10,8:00 PM,Away,Winnipeg Jets,1,8,L,,15,12,3,L 1,12921,2:37,
31,2024-12-12,10:00 PM,Away,Seattle Kraken,1,5,L,,15,13,3,L 2,17151,2:24,
32,2024-12-14,10:00 PM,Away,Vancouver Canucks,5,1,W,,16,13,3,W 1,18787,2:31,
33,2024-12-17,9:00 PM,Away,Calgary Flames,4,3,W,OT,17,13,3,W 2,17536,2:28,
34,2024-12-19,9:00 PM,Away,Edmonton Oilers,2,3,L,OT,17,13,4,L 1,18347,2:28,
35,2024-12-21,7:00 PM,Home,Buffalo Sabres,3,1,W,,18,13,4,W 1,17850,2:25,
36,2024-12-23,7:00 PM,Home,Washington Capitals,4,1,W,,19,13,4,W 2,17850,2:32,
37,2024-12-27,7:00 PM,Away,Columbus Blue Jackets,2,6,L,,19,14,4,L 1,18821,2:24,
38,2024-12-28,7:00 PM,Home,Columbus Blue Jackets,4,0,W,,20,14,4,W 1,17850,2:22,
39,2024-12-31,12:30 PM,Away,Washington Capitals,1,3,L,,20,15,4,L 1,18573,2:38,
40,2025-01-02,7:00 PM,Away,New York Rangers,1,2,L,,20,16,4,L 2,18006,2:33,
41,2025-01-04,7:00 PM,Away,Toronto Maple Leafs,4,6,L,,20,17,4,L 3,18996,2:31,
42,2025-01-05,6:00 PM,Home,New York Islanders,4,5,L,OT,20,17,5,L 4,17850,2:35,
43,2025-01-07,7:00 PM,Home,Edmonton Oilers,0,4,L,,20,18,5,L 5,17850,2:19,
44,2025-01-09,7:00 PM,Away,Tampa Bay Lightning,1,4,L,,20,19,5,L 6,19092,2:44,
45,2025-01-11,1:00 PM,Away,Florida Panthers,4,3,W,OT,21,19,5,W 1,19687,2:51,
46,2025-01-14,7:00 PM,Home,Tampa Bay Lightning,6,2,W,,22,19,5,W 2,17850,2:53,
47,2025-01-18,3:00 PM,Away,Ottawa Senators,5,6,L,SO,22,19,6,L 1,18768,2:56,
48,2025-01-20,1:00 PM,Home,San Jose Sharks,6,3,W,,23,19,6,W 1,17850,2:30,
49,2025-01-22,7:00 PM,Away,New Jersey Devils,1,5,L,,23,20,6,L 1,16025,2:26,
50,2025-01-23,7:00 PM,Home,Ottawa Senators,2,0,W,,24,20,6,W 1,17850,2:27,
51,2025-01-25,1:00 PM,Home,Colorado Avalanche,3,1,W,,25,20,6,W 2,17850,2:25,
52,2025-01-28,7:00 PM,Away,Buffalo Sabres,2,7,L,,25,21,6,L 1,15607,2:26,
53,2025-01-30,7:00 PM,Home,Winnipeg Jets,2,6,L,,25,22,6,L 2,17850,2:34,
54,2025-02-01,3:30 PM,Home,New York Rangers,6,3,W,,26,22,6,W 1,17850,2:31,
55,2025-02-04,7:00 PM,Home,Minnesota Wild,3,0,W,,27,22,6,W 2,17850,2:29,
56,2025-02-05,7:00 PM,Away,New York Rangers,2,3,L,,27,23,6,L 1,18006,2:32,
57,2025-02-08,3:30 PM,Home,Vegas Golden Knights,3,4,L,,27,24,6,L 2,17850,2:41,
58,2025-02-22,7:00 PM,Home,Anaheim Ducks,2,3,L,OT,27,24,7,L 3,17850,2:38,
59,2025-02-25,7:00 PM,Home,Toronto Maple Leafs,4,5,L,OT,27,24,8,L 4,17850,2:42,
60,2025-02-27,7:00 PM,Home,New York Islanders,1,2,L,,27,25,8,L 5,17850,2:33,
61,2025-03-01,3:00 PM,Away,Pittsburgh Penguins,3,2,W,,28,25,8,W 1,17320,2:33,
62,2025-03-02,3:30 PM,Away,Minnesota Wild,0,1,L,,28,26,8,L 1,18447,2:21,
63,2025-03-04,7:00 PM,Home,Nashville Predators,3,6,L,,28,27,8,L 2,17850,2:24,
64,2025-03-06,7:00 PM,Away,Carolina Hurricanes,2,3,L,,28,28,8,L 3,18700,2:29,
65,2025-03-08,3:00 PM,Away,Tampa Bay Lightning,4,0,W,,29,28,8,W 1,19092,2:29,
66,2025-03-11,7:00 PM,Home,Florida Panthers,3,2,W,,30,28,8,W 2,17850,2:41,
67,2025-03-13,7:00 PM,Away,Ottawa Senators,3,6,L,,30,29,8,L 1,17458,2:32,
68,2025-03-15,7:00 PM,Home,Tampa Bay Lightning,2,6,L,,30,30,8,L 2,17850,2:28,
69,2025-03-17,7:00 PM,Home,Buffalo Sabres,2,3,L,OT,30,30,9,L 3,17850,2:37,
70,2025-03-20,10:00 PM,Away,Vegas Golden Knights,1,5,L,,30,31,9,L 4,18225,2:24,
71,2025-03-22,10:30 PM,Away,San Jose Sharks,1,3,L,,30,32,9,L 5,17435,2:24,
72,2025-03-23,9:00 PM,Away,Los Angeles Kings,2,7,L,,30,33,9,L 6,18145,2:31,
73,2025-03-26,10:00 PM,Away,Anaheim Ducks,2,6,L,,30,34,9,L 7,16387,2:29,
