Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-11,7:00 PM,Home,Tampa Bay Lightning,1,4,L,,0,1,0,L 1,18817,2:35,
2,2024-10-15,7:00 PM,Home,New Jersey Devils,4,2,W,,1,1,0,W 1,18700,2:24,
3,2024-10-18,7:00 PM,Away,Pittsburgh Penguins,4,1,W,,2,1,0,W 2,17074,2:24,
4,2024-10-19,7:00 PM,Away,St. Louis Blues,3,4,L,,2,2,0,L 1,18096,2:38,
5,2024-10-22,9:00 PM,Away,Edmonton Oilers,3,2,W,OT,3,2,0,W 1,18347,2:31,
6,2024-10-24,9:00 PM,Away,Calgary Flames,4,2,W,,4,2,0,W 2,16404,2:35,
7,2024-10-26,10:00 PM,Away,Seattle Kraken,4,1,W,,5,2,0,W 3,17151,2:28,
8,2024-10-28,10:00 PM,Away,Vancouver Canucks,4,3,W,OT,6,2,0,W 4,18682,2:33,
9,2024-10-31,7:00 PM,Home,Boston Bruins,8,2,W,,7,2,0,W 5,18700,2:39,
10,2024-11-03,5:00 PM,Home,Washington Capitals,4,2,W,,8,2,0,W 6,18796,2:32,
11,2024-11-05,7:00 PM,Home,Philadelphia Flyers,6,4,W,,9,2,0,W 7,18700,2:27,
12,2024-11-07,7:00 PM,Home,Pittsburgh Penguins,5,1,W,,10,2,0,W 8,18700,2:21,
13,2024-11-09,9:00 PM,Away,Colorado Avalanche,4,6,L,,10,3,0,L 1,18089,2:38,
14,2024-11-11,10:00 PM,Away,Vegas Golden Knights,5,2,W,,11,3,0,W 1,17908,2:32,
15,2024-11-13,9:00 PM,Away,Utah Hockey Club,1,4,L,,11,4,0,L 1,11131,2:41,
16,2024-11-16,7:00 PM,Home,Ottawa Senators,4,0,W,,12,4,0,W 1,18808,2:30,
17,2024-11-17,5:00 PM,Home,St. Louis Blues,4,1,W,,13,4,0,W 2,18797,2:26,
18,2024-11-20,7:30 PM,Away,Philadelphia Flyers,4,1,W,,14,4,0,W 3,17535,2:24,
19,2024-11-21,7:00 PM,Away,New Jersey Devils,2,4,L,,14,5,0,L 1,16086,2:23,
20,2024-11-23,7:00 PM,Away,Columbus Blue Jackets,4,5,L,SO,14,5,1,L 2,16013,2:46,
21,2024-11-25,7:00 PM,Home,Dallas Stars,6,4,W,,15,5,1,W 1,18812,2:35,
22,2024-11-27,7:00 PM,Home,New York Rangers,4,3,W,,16,5,1,W 2,18905,2:24,
23,2024-11-29,3:00 PM,Home,Florida Panthers,3,6,L,,16,6,1,L 1,18920,2:31,
24,2024-11-30,4:00 PM,Away,Florida Panthers,0,6,L,,16,7,1,L 2,18648,2:39,
25,2024-12-03,7:00 PM,Home,Seattle Kraken,2,4,L,,16,8,1,L 3,18700,2:26,
26,2024-12-05,7:00 PM,Home,Colorado Avalanche,5,3,W,,17,8,1,W 1,18700,2:28,
27,2024-12-07,5:00 PM,Away,New York Islanders,3,4,L,,17,9,1,L 1,15619,2:28,
28,2024-12-10,7:00 PM,Home,San Jose Sharks,3,2,W,,18,9,1,W 1,18700,2:26,
29,2024-12-13,7:00 PM,Home,Ottawa Senators,0,3,L,,18,10,1,L 1,18700,2:31,
30,2024-12-15,5:00 PM,Home,Columbus Blue Jackets,4,1,W,,19,10,1,W 1,18700,2:36,
31,2024-12-17,7:30 PM,Home,New York Islanders,4,0,W,,20,10,1,W 2,18700,2:25,
32,2024-12-20,7:00 PM,Away,Washington Capitals,1,3,L,,20,11,1,L 1,18573,2:35,
33,2024-12-22,12:30 PM,Away,New York Rangers,3,1,W,,21,11,1,W 1,18006,2:26,
34,2024-12-23,8:00 PM,Away,Nashville Predators,2,5,L,,21,12,1,L 1,17159,2:28,
35,2024-12-27,7:00 PM,Away,New Jersey Devils,2,4,L,,21,13,1,L 2,16629,2:22,
36,2024-12-28,7:00 PM,Home,New Jersey Devils,5,2,W,,22,13,1,W 1,18825,2:36,
37,2024-12-31,8:00 PM,Away,Columbus Blue Jackets,3,4,L,SO,22,13,2,L 1,17712,2:47,
38,2025-01-02,7:00 PM,Away,Florida Panthers,3,1,W,,23,13,2,W 1,19434,2:43,
39,2025-01-04,7:00 PM,Home,Minnesota Wild,0,4,L,,23,14,2,L 1,18903,2:32,
40,2025-01-05,6:00 PM,Home,Pittsburgh Penguins,4,3,W,OT,24,14,2,W 1,18891,2:33,
41,2025-01-07,7:00 PM,Away,Tampa Bay Lightning,2,3,L,,24,15,2,L 1,19092,2:41,
42,2025-01-09,7:30 PM,Home,Toronto Maple Leafs,6,3,W,,25,15,2,W 1,18750,2:26,
43,2025-01-10,7:00 PM,Home,Vancouver Canucks,2,0,W,,26,15,2,W 2,18700,2:29,
44,2025-01-12,5:00 PM,Home,Anaheim Ducks,2,3,L,OT,26,15,3,L 1,18897,2:39,
45,2025-01-15,6:00 PM,Away,Buffalo Sabres,2,4,L,,26,16,3,L 2,13449,2:21,
46,2025-01-17,7:00 PM,Home,Vegas Golden Knights,3,2,W,,27,16,3,W 1,18825,2:33,
47,2025-01-20,8:30 PM,Away,Chicago Blackhawks,4,3,W,OT,28,16,3,W 2,15831,2:33,
48,2025-01-21,8:00 PM,Away,Dallas Stars,2,1,W,,29,16,3,W 3,18532,2:23,
49,2025-01-23,7:00 PM,Home,Columbus Blue Jackets,7,4,W,,30,16,3,W 4,18700,2:29,
50,2025-01-25,7:30 PM,Away,New York Islanders,2,3,L,OT,30,16,4,L 1,17255,2:37,
51,2025-01-28,7:00 PM,Away,New York Rangers,4,0,W,,31,16,4,W 1,17629,2:25,
52,2025-01-30,7:00 PM,Home,Chicago Blackhawks,3,2,W,,32,16,4,W 2,18896,2:22,
53,2025-02-01,7:00 PM,Home,Los Angeles Kings,2,4,L,,32,17,4,L 1,18977,2:31,
54,2025-02-04,8:00 PM,Away,Winnipeg Jets,0,3,L,,32,18,4,L 2,13802,2:32,
55,2025-02-06,7:30 PM,Away,Minnesota Wild,1,2,L,,32,19,4,L 3,18273,2:26,
56,2025-02-08,1:00 PM,Home,Utah Hockey Club,7,3,W,,33,19,4,W 1,19005,2:36,
57,2025-02-22,7:00 PM,Away,Toronto Maple Leafs,3,6,L,,33,20,4,L 1,18914,2:36,
