Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-10,8:00 PM,Away,Minnesota Wild,2,3,L,,0,1,0,L 1,18613,2:29,
2,2024-10-12,9:00 PM,Away,Colorado Avalanche,6,4,W,,1,1,0,W 1,18080,2:35,
3,2024-10-15,7:00 PM,Home,Florida Panthers,3,4,L,,1,2,0,L 1,18484,2:27,
4,2024-10-17,7:00 PM,Home,Buffalo Sabres,6,4,W,,2,2,0,W 1,16126,2:25,
5,2024-10-19,7:00 PM,Home,Minnesota Wild,1,3,L,,2,3,0,L 1,16876,2:25,
6,2024-10-22,7:30 PM,Home,Toronto Maple Leafs,6,2,W,,3,3,0,W 1,14852,2:33,
7,2024-10-26,8:00 PM,Away,Nashville Predators,3,4,L,OT,3,3,1,L 1,17159,2:31,
8,2024-10-28,7:00 PM,Home,Edmonton Oilers,6,1,W,,4,3,1,W 1,15237,2:24,
9,2024-10-30,7:00 PM,Home,New York Islanders,2,0,W,,5,3,1,W 2,14015,2:19,
10,2024-11-01,7:00 PM,Home,Winnipeg Jets,2,6,L,,5,4,1,L 1,15823,2:24,
11,2024-11-02,5:00 PM,Away,Washington Capitals,2,7,L,,5,5,1,L 2,17666,2:27,
12,2024-11-05,10:30 PM,Away,San Jose Sharks,1,2,L,OT,5,5,2,L 3,10376,2:29,
13,2024-11-09,9:00 PM,Away,Los Angeles Kings,2,5,L,,5,6,2,L 4,18145,2:24,
14,2024-11-10,8:00 PM,Away,Anaheim Ducks,2,4,L,,5,7,2,L 5,16153,2:27,
15,2024-11-12,10:00 PM,Away,Seattle Kraken,2,5,L,,5,8,2,L 6,17151,2:24,
16,2024-11-15,7:00 PM,Home,Pittsburgh Penguins,6,2,W,,6,8,2,W 1,18348,2:26,
17,2024-11-16,7:00 PM,Away,Montreal Canadiens,1,5,L,,6,9,2,L 1,21105,2:24,
18,2024-11-18,7:00 PM,Away,Boston Bruins,5,1,W,,7,9,2,W 1,17850,2:32,
19,2024-11-21,7:00 PM,Home,Tampa Bay Lightning,7,6,W,OT,8,9,2,W 2,16260,2:32,
20,2024-11-23,7:00 PM,Home,Carolina Hurricanes,5,4,W,SO,9,9,2,W 3,16013,2:46,
21,2024-11-27,7:30 PM,Home,Montreal Canadiens,3,4,L,OT,9,9,3,L 1,15485,2:33,
22,2024-11-29,3:00 PM,Home,Calgary Flames,5,2,W,,10,9,3,W 1,17035,2:40,
23,2024-12-01,3:00 PM,Away,Chicago Blackhawks,6,3,W,,11,9,3,W 2,17393,2:30,
24,2024-12-03,9:00 PM,Away,Calgary Flames,0,3,L,,11,10,3,L 1,17386,2:27,
25,2024-12-05,9:00 PM,Away,Edmonton Oilers,3,6,L,,11,11,3,L 2,18347,2:27,
26,2024-12-06,10:00 PM,Away,Vancouver Canucks,2,5,L,,11,12,3,L 3,18529,2:34,
27,2024-12-08,6:00 PM,Away,Winnipeg Jets,4,1,W,,12,12,3,W 1,13887,2:21,
28,2024-12-10,7:00 PM,Home,Philadelphia Flyers,3,5,L,,12,13,3,L 1,15467,2:19,
29,2024-12-12,7:00 PM,Home,Washington Capitals,1,2,L,OT,12,13,4,L 2,15962,2:33,
30,2024-12-14,7:00 PM,Home,Anaheim Ducks,3,4,L,OT,12,13,5,L 3,17663,2:30,
31,2024-12-15,5:00 PM,Away,Carolina Hurricanes,1,4,L,,12,14,5,L 4,18700,2:36,
32,2024-12-17,7:00 PM,Away,Tampa Bay Lightning,3,5,L,,12,15,5,L 5,19092,2:34,
33,2024-12-19,7:00 PM,Home,New Jersey Devils,4,2,W,,13,15,5,W 1,15793,2:28,
34,2024-12-21,7:00 PM,Away,Philadelphia Flyers,4,5,L,OT,13,15,6,L 1,18644,2:36,
35,2024-12-23,7:00 PM,Home,Montreal Canadiens,5,4,W,,14,15,6,W 1,17875,2:37,
36,2024-12-27,7:00 PM,Home,Boston Bruins,6,2,W,,15,15,6,W 2,18821,2:24,
37,2024-12-28,7:00 PM,Away,Boston Bruins,0,4,L,,15,16,6,L 1,17850,2:22,
38,2024-12-31,8:00 PM,Home,Carolina Hurricanes,4,3,W,SO,16,16,6,W 1,17712,2:47,
39,2025-01-02,7:00 PM,Home,Detroit Red Wings,4,5,L,,16,17,6,L 1,18370,2:22,
40,2025-01-04,7:00 PM,Home,St. Louis Blues,6,4,W,,17,17,6,W 1,18535,2:29,
41,2025-01-07,7:00 PM,Away,Pittsburgh Penguins,4,3,W,SO,18,17,6,W 2,16060,2:34,
42,2025-01-09,7:00 PM,Home,Seattle Kraken,6,2,W,,19,17,6,W 3,15497,2:21,
43,2025-01-11,7:00 PM,Away,St. Louis Blues,2,1,W,,20,17,6,W 4,17591,2:21,
44,2025-01-14,7:00 PM,Home,Philadelphia Flyers,3,2,W,SO,21,17,6,W 5,15018,2:34,
45,2025-01-16,7:00 PM,Home,San Jose Sharks,4,1,W,,22,17,6,W 6,15943,2:20,
46,2025-01-18,7:00 PM,Away,New York Rangers,0,1,L,SO,22,17,7,L 1,18006,2:28,
47,2025-01-20,7:30 PM,Away,New York Islanders,1,3,L,,22,18,7,L 2,14551,2:22,
48,2025-01-22,7:30 PM,Away,Toronto Maple Leafs,5,1,W,,23,18,7,W 1,18459,2:25,
49,2025-01-23,7:00 PM,Away,Carolina Hurricanes,4,7,L,,23,19,7,L 1,18700,2:29,
50,2025-01-25,7:00 PM,Home,Los Angeles Kings,3,2,W,OT,24,19,7,W 1,18919,2:32,
51,2025-01-30,10:00 PM,Away,Vegas Golden Knights,2,1,W,OT,25,19,7,W 2,17783,2:20,
52,2025-01-31,9:00 PM,Away,Utah Hockey Club,3,2,W,OT,26,19,7,W 3,11131,2:29,
53,2025-02-02,6:00 PM,Away,Dallas Stars,3,5,L,,26,20,7,L 1,18532,2:35,
54,2025-02-04,7:00 PM,Away,Buffalo Sabres,2,3,L,,26,21,7,L 2,14198,2:21,
55,2025-02-06,7:00 PM,Home,Utah Hockey Club,2,3,L,OT,26,21,8,L 3,18553,2:36,
56,2025-02-08,7:00 PM,Home,New York Rangers,3,4,L,,26,22,8,L 4,18755,2:23,
57,2025-02-22,7:00 PM,Home,Chicago Blackhawks,5,1,W,,27,22,8,W 1,18809,2:14,
58,2025-02-25,7:00 PM,Home,Dallas Stars,6,4,W,,28,22,8,W 2,16897,2:24,
59,2025-02-27,7:00 PM,Away,Detroit Red Wings,5,2,W,,29,22,8,W 3,19515,2:30,
60,2025-03-01,6:00 PM,Home,Detroit Red Wings,5,3,W,,30,22,8,W 4,94751,2:40,"at Ohio Stadium (Columbus, OH)"
61,2025-03-04,7:00 PM,Away,Tampa Bay Lightning,2,6,L,,30,23,8,L 1,19092,2:35,
62,2025-03-06,7:00 PM,Away,Florida Panthers,0,3,L,,30,24,8,L 2,19402,2:34,
63,2025-03-09,6:00 PM,Away,New York Rangers,7,3,W,,31,24,8,W 1,18006,2:26,
64,2025-03-11,7:00 PM,Away,New Jersey Devils,3,5,L,,31,25,8,L 1,15630,2:21,
65,2025-03-13,7:00 PM,Home,Vegas Golden Knights,0,4,L,,31,26,8,L 2,18823,2:20,
66,2025-03-15,7:00 PM,Home,New York Rangers,0,4,L,,31,27,8,L 3,18464,2:16,
67,2025-03-17,7:00 PM,Home,New Jersey Devils,1,2,L,,31,28,8,L 4,16708,2:26,
68,2025-03-20,7:00 PM,Home,Florida Panthers,0,1,L,OT,31,28,9,L 5,16757,2:29,
69,2025-03-21,7:00 PM,Away,Pittsburgh Penguins,3,6,L,,31,29,9,L 6,17222,2:27,
70,2025-03-24,7:30 PM,Away,New York Islanders,4,3,W,SO,32,29,9,W 1,14158,2:48,
71,2025-03-28,7:00 PM,Home,Vancouver Canucks,7,6,W,SO,33,29,9,W 2,18586,2:53,
72,2025-03-29,7:00 PM,Away,Ottawa Senators,2,3,L,,33,30,9,L 1,17758,2:28,
73,2025-04-01,7:00 PM,Home,Nashville Predators,8,4,W,,34,30,9,W 1,15605,2:34,
74,2025-04-03,7:30 PM,Home,Colorado Avalanche,3,7,L,,34,31,9,L 1,18392,2:38,
75,2025-04-05,7:00 PM,Away,Toronto Maple Leafs,0,5,L,,34,32,9,L 2,19179,2:20,
76,2025-04-06,5:00 PM,Away,Ottawa Senators,0,4,L,,34,33,9,L 3,15616,2:21,
77,2025-04-08,7:00 PM,Home,Ottawa Senators,5,2,W,,35,33,9,W 1,15188,2:29,
78,2025-04-10,7:00 PM,Home,Buffalo Sabres,3,2,W,,36,33,9,W 2,16406,2:26,
79,2025-04-12,12:30 PM,Home,Washington Capitals,7,0,W,,37,33,9,W 3,18645,2:39,
80,2025-04-13,6:00 PM,Away,Washington Capitals,4,1,W,,38,33,9,W 4,18573,2:38,
81,2025-04-15,7:00 PM,Away,Philadelphia Flyers,3,0,W,,39,33,9,W 5,19105,2:24,
82,2025-04-17,7:00 PM,Home,New York Islanders,6,1,W,,40,33,9,W 6,18874,2:16,
