Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-09,10:00 PM,Away,Vancouver Canucks,6,5,W,OT,1,0,0,W 1,18850,2:44,
2,2024-10-12,10:00 PM,Home,Philadelphia Flyers,6,3,W,,2,0,0,W 2,19289,2:38,
3,2024-10-13,8:00 PM,Away,Edmonton Oilers,4,1,W,,3,0,0,W 3,18347,2:29,
4,2024-10-15,9:00 PM,Home,Chicago Blackhawks,3,1,W,,4,0,0,W 4,16242,2:27,
5,2024-10-19,10:00 PM,Away,Seattle Kraken,1,2,L,OT,4,0,1,L 1,17151,2:33,
6,2024-10-22,9:30 PM,Home,Pittsburgh Penguins,4,3,W,SO,5,0,1,W 1,17025,2:52,
7,2024-10-24,9:00 PM,Home,Carolina Hurricanes,2,4,L,,5,1,1,L 1,16404,2:35,
8,2024-10-26,7:00 PM,Home,Winnipeg Jets,3,5,L,,5,2,1,L 2,16886,2:36,
9,2024-10-28,10:00 PM,Away,Vegas Golden Knights,0,5,L,,5,3,1,L 3,17599,2:27,
10,2024-10-30,9:30 PM,Away,Utah Hockey Club,1,5,L,,5,4,1,L 4,11131,2:32,
11,2024-11-01,9:00 PM,Home,New Jersey Devils,3,0,W,,6,4,1,W 1,16275,2:32,
12,2024-11-03,8:00 PM,Home,Edmonton Oilers,2,4,L,,6,5,1,L 1,19289,2:33,
13,2024-11-05,7:00 PM,Away,Montreal Canadiens,3,2,W,OT,7,5,1,W 1,21105,2:34,
14,2024-11-07,7:00 PM,Away,Boston Bruins,3,4,L,OT,7,5,2,L 1,17850,2:40,
15,2024-11-09,1:00 PM,Away,Buffalo Sabres,2,3,L,SO,7,5,3,L 2,16442,2:44,
16,2024-11-11,8:30 PM,Home,Los Angeles Kings,3,1,W,,8,5,3,W 1,16920,2:27,
17,2024-11-12,10:00 PM,Away,Vancouver Canucks,1,3,L,,8,6,3,L 1,18781,2:29,
18,2024-11-15,9:00 PM,Home,Nashville Predators,2,0,W,,9,6,3,W 1,17900,2:44,
19,2024-11-19,9:00 PM,Home,New York Islanders,2,1,W,SO,10,6,3,W 2,16565,2:39,
20,2024-11-21,9:00 PM,Home,New York Rangers,3,2,W,,11,6,3,W 3,17033,2:33,
21,2024-11-23,4:00 PM,Home,Minnesota Wild,4,3,W,SO,12,6,3,W 4,17116,2:35,
22,2024-11-25,7:30 PM,Away,Ottawa Senators,3,4,L,,12,7,3,L 1,17196,2:40,
23,2024-11-27,7:30 PM,Away,Detroit Red Wings,1,2,L,OT,12,7,4,L 2,19515,2:36,
24,2024-11-29,3:00 PM,Away,Columbus Blue Jackets,2,5,L,,12,8,4,L 3,17035,2:40,
25,2024-11-30,7:00 PM,Away,Pittsburgh Penguins,2,6,L,,12,9,4,L 4,16060,2:30,
26,2024-12-03,9:00 PM,Home,Columbus Blue Jackets,3,0,W,,13,9,4,W 1,17386,2:27,
27,2024-12-05,9:00 PM,Home,St. Louis Blues,3,4,L,OT,13,9,5,L 1,17060,2:44,
28,2024-12-08,8:00 PM,Away,Dallas Stars,2,6,L,,13,10,5,L 2,18532,2:35,
29,2024-12-10,8:00 PM,Away,Nashville Predators,4,3,W,,14,10,5,W 1,17159,2:24,
30,2024-12-12,9:00 PM,Home,Tampa Bay Lightning,3,8,L,,14,11,5,L 1,17028,2:30,
31,2024-12-14,10:00 PM,Home,Florida Panthers,3,0,W,,15,11,5,W 1,18018,2:25,
32,2024-12-17,9:00 PM,Home,Boston Bruins,3,4,L,OT,15,11,6,L 1,17536,2:28,
