Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-08,10:00 PM,Away,Utah Hockey Club,2,5,L,,0,1,0,L 1,11131,2:30,
2,2024-10-11,8:00 PM,Away,Winnipeg Jets,1,2,L,OT,0,1,1,L 2,14564,2:26,
3,2024-10-12,10:00 PM,Away,Edmonton Oilers,5,2,W,,1,1,1,W 1,18347,2:28,
4,2024-10-15,9:00 PM,Away,Calgary Flames,1,3,L,,1,2,1,L 1,16242,2:27,
5,2024-10-17,8:30 PM,Home,San Jose Sharks,4,2,W,,2,2,1,W 1,19056,2:26,
6,2024-10-19,8:00 PM,Home,Buffalo Sabres,2,4,L,,2,3,1,L 1,18773,2:27,
7,2024-10-22,8:15 PM,Home,Vancouver Canucks,3,6,L,,2,4,1,L 2,17118,2:32,
8,2024-10-25,8:30 PM,Home,Nashville Predators,2,3,L,,2,5,1,L 3,17787,2:36,
9,2024-10-26,8:00 PM,Away,Dallas Stars,2,4,L,,2,6,1,L 4,18532,2:22,
10,2024-10-28,9:00 PM,Away,Colorado Avalanche,5,2,W,,3,6,1,W 1,18010,2:25,
11,2024-10-31,10:30 PM,Away,San Jose Sharks,2,3,L,,3,7,1,L 1,10315,2:15,
12,2024-11-02,4:00 PM,Away,Los Angeles Kings,4,3,W,SO,4,7,1,W 1,17314,2:33,
13,2024-11-03,8:00 PM,Away,Anaheim Ducks,4,2,W,,5,7,1,W 2,16352,2:23,
14,2024-11-06,8:00 PM,Home,Detroit Red Wings,1,4,L,,5,8,1,L 1,19984,2:24,
15,2024-11-07,8:00 PM,Away,Dallas Stars,1,3,L,,5,9,1,L 2,18532,2:23,
16,2024-11-10,7:00 PM,Home,Minnesota Wild,2,1,W,OT,6,9,1,W 1,19657,2:25,
17,2024-11-14,10:00 PM,Away,Seattle Kraken,1,3,L,,6,10,1,L 1,17151,2:26,
18,2024-11-16,10:00 PM,Away,Vancouver Canucks,1,4,L,,6,11,1,L 2,18620,2:22,
19,2024-11-19,8:30 PM,Home,Anaheim Ducks,2,3,L,,6,12,1,L 3,17712,2:22,
20,2024-11-21,8:30 PM,Home,Florida Panthers,3,1,W,,7,12,1,W 1,19107,2:25,
21,2024-11-23,1:00 PM,Away,Philadelphia Flyers,2,3,L,OT,7,12,2,L 1,18714,2:29,
22,2024-11-27,8:30 PM,Home,Dallas Stars,6,2,W,,8,12,2,W 1,19144,2:23,
23,2024-11-29,2:00 PM,Away,Minnesota Wild,2,3,L,,8,13,2,L 1,18532,2:19,
24,2024-12-01,3:00 PM,Home,Columbus Blue Jackets,3,6,L,,8,14,2,L 2,17393,2:30,
25,2024-12-02,7:30 PM,Away,Toronto Maple Leafs,1,4,L,,8,15,2,L 3,18557,2:16,
26,2024-12-04,7:30 PM,Home,Boston Bruins,2,4,L,,8,16,2,L 4,19179,2:22,
27,2024-12-07,4:00 PM,Home,Winnipeg Jets,2,4,L,,8,17,2,L 5,18581,2:18,
