Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-09,10:00 PM,Home,Winnipeg Jets,0,6,L,,0,1,0,L 1,18347,2:18,
2,2024-10-12,10:00 PM,Home,Chicago Blackhawks,2,5,L,,0,2,0,L 2,18347,2:28,
3,2024-10-13,8:00 PM,Home,Calgary Flames,1,4,L,,0,3,0,L 3,18347,2:29,
4,2024-10-15,10:00 PM,Home,Philadelphia Flyers,4,3,W,OT,1,3,0,W 1,18347,2:46,
5,2024-10-17,8:00 PM,Away,Nashville Predators,4,2,W,,2,3,0,W 2,17159,2:39,
6,2024-10-19,4:00 PM,Away,Dallas Stars,1,4,L,,2,4,0,L 1,18532,2:25,
7,2024-10-22,9:00 PM,Home,Carolina Hurricanes,2,3,L,OT,2,4,1,L 2,18347,2:31,
8,2024-10-25,9:00 PM,Home,Pittsburgh Penguins,4,0,W,,3,4,1,W 1,18347,2:25,
9,2024-10-27,6:00 PM,Away,Detroit Red Wings,3,2,W,OT,4,4,1,W 2,19515,2:31,
10,2024-10-28,7:00 PM,Away,Columbus Blue Jackets,1,6,L,,4,5,1,L 1,15237,2:24,
11,2024-10-31,8:00 PM,Away,Nashville Predators,5,1,W,,5,5,1,W 1,17159,2:24,
12,2024-11-03,8:00 PM,Away,Calgary Flames,4,2,W,,6,5,1,W 2,19289,2:33,
13,2024-11-04,8:30 PM,Home,New Jersey Devils,0,3,L,,6,6,1,L 1,18347,2:22,
14,2024-11-06,8:30 PM,Home,Vegas Golden Knights,2,4,L,,6,7,1,L 2,18347,2:27,
15,2024-11-09,10:00 PM,Away,Vancouver Canucks,7,3,W,,7,7,1,W 1,18714,2:31,
16,2024-11-12,9:00 PM,Home,New York Islanders,4,3,W,OT,8,7,1,W 2,18347,2:32,
17,2024-11-14,9:00 PM,Home,Nashville Predators,3,2,W,OT,9,7,1,W 3,18347,2:33,
18,2024-11-16,7:00 PM,Away,Toronto Maple Leafs,3,4,L,OT,9,7,2,L 1,19301,2:25,
19,2024-11-18,7:30 PM,Away,Montreal Canadiens,0,3,L,,9,8,2,L 2,21105,2:19,
20,2024-11-19,7:00 PM,Away,Ottawa Senators,5,2,W,,10,8,2,W 1,18676,2:30,
21,2024-11-21,9:00 PM,Home,Minnesota Wild,3,5,L,,10,9,2,L 1,18347,2:39,
22,2024-11-23,10:00 PM,Home,New York Rangers,6,2,W,,11,9,2,W 1,18347,2:22,
23,2024-11-29,9:00 PM,Away,Utah Hockey Club,4,3,W,OT,12,9,2,W 2,11131,2:30,
24,2024-11-30,10:00 PM,Away,Colorado Avalanche,4,1,W,,13,9,2,W 3,18080,2:27,
25,2024-12-03,10:00 PM,Away,Vegas Golden Knights,0,1,L,,13,10,2,L 1,17887,2:24,
