Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-08,7:00 PM,Home,Boston Bruins,6,4,W,,1,0,0,W 1,19813,2:39,
2,2024-10-10,7:00 PM,Away,Ottawa Senators,1,3,L,,1,1,0,L 1,19346,2:22,
3,2024-10-12,7:00 PM,Away,Buffalo Sabres,2,5,L,,1,2,0,L 2,16644,2:27,
4,2024-10-14,1:00 PM,Away,Boston Bruins,4,3,W,,2,2,0,W 1,17850,2:36,
5,2024-10-15,7:00 PM,Away,Columbus Blue Jackets,4,3,W,,3,2,0,W 2,18484,2:27,
6,2024-10-17,7:00 PM,Home,Vancouver Canucks,2,3,L,OT,3,2,1,L 1,17865,2:40,
7,2024-10-19,6:00 PM,Home,Vegas Golden Knights,4,3,W,OT,4,2,1,W 1,19572,2:35,
8,2024-10-22,6:30 PM,Home,Minnesota Wild,1,5,L,,4,3,1,L 1,18264,2:22,
9,2024-10-24,7:00 PM,Away,New York Rangers,3,1,W,,5,3,1,W 1,18006,2:23,
10,2024-10-26,7:30 PM,Away,New York Islanders,6,3,W,,6,3,1,W 2,15807,2:31,
11,2024-10-28,7:00 PM,Away,Buffalo Sabres,5,2,W,,7,3,1,W 3,12906,2:33,
12,2024-11-01,2:00 PM,Away,Dallas Stars,6,4,W,,8,3,1,W 4,12786,2:33,"at Nokia Arena (Tampere, FI)"
13,2024-11-02,12:00 PM,Home,Dallas Stars,4,2,W,,9,3,1,W 5,12807,2:28,"at Nokia Arena (Tampere, FI)"
14,2024-11-07,7:00 PM,Home,Nashville Predators,6,2,W,,10,3,1,W 6,18264,2:38,
15,2024-11-09,6:00 PM,Home,Philadelphia Flyers,4,3,W,SO,11,3,1,W 7,19547,2:50,
16,2024-11-12,7:30 PM,Home,New Jersey Devils,1,4,L,,11,4,1,L 1,18677,2:29,
17,2024-11-14,7:00 PM,Home,New Jersey Devils,2,6,L,,11,5,1,L 2,18573,2:31,
18,2024-11-16,7:00 PM,Home,Winnipeg Jets,5,0,W,,12,5,1,W 1,19157,2:27,
19,2024-11-19,8:00 PM,Away,Winnipeg Jets,3,6,L,,12,6,1,L 1,15225,2:29,
20,2024-11-21,8:30 PM,Away,Chicago Blackhawks,1,3,L,,12,7,1,L 2,19107,2:25,
21,2024-11-23,6:00 PM,Home,Colorado Avalanche,4,7,L,,12,8,1,L 3,18638,2:35,
22,2024-11-25,7:00 PM,Home,Washington Capitals,1,4,L,,12,9,1,L 4,18504,2:31,
23,2024-11-27,7:30 PM,Home,Toronto Maple Leafs,5,1,W,,13,9,1,W 1,18563,2:30,
24,2024-11-29,3:00 PM,Away,Carolina Hurricanes,6,3,W,,14,9,1,W 2,18920,2:31,
25,2024-11-30,4:00 PM,Home,Carolina Hurricanes,6,0,W,,15,9,1,W 3,18648,2:39,
26,2024-12-03,7:00 PM,Away,Pittsburgh Penguins,4,5,L,OT,15,9,2,L 1,15502,2:36,
27,2024-12-05,7:00 PM,Away,Philadelphia Flyers,7,5,W,,16,9,2,W 1,18206,2:40,
28,2024-12-07,6:00 PM,Home,San Jose Sharks,3,1,W,,17,9,2,W 2,18646,2:34,
29,2024-12-10,10:00 PM,Away,Seattle Kraken,2,1,W,SO,18,9,2,W 3,17151,2:38,
30,2024-12-12,10:00 PM,Away,Vancouver Canucks,0,4,L,,18,10,2,L 1,18614,2:25,
31,2024-12-14,10:00 PM,Away,Calgary Flames,0,3,L,,18,11,2,L 2,18018,2:25,
32,2024-12-16,8:30 PM,Away,Edmonton Oilers,6,5,W,,19,11,2,W 1,18347,2:39,
