Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-10,7:00 PM,Away,Buffalo Sabres,3,1,W,,1,0,0,W 1,19070,2:38,
2,2024-10-12,1:00 PM,Away,Boston Bruins,1,2,L,OT,1,0,1,L 1,17850,2:28,
3,2024-10-14,1:00 PM,Away,Ottawa Senators,7,8,L,OT,1,0,2,L 2,16788,2:49,
4,2024-10-16,7:30 PM,Away,Toronto Maple Leafs,2,6,L,,1,1,2,L 3,18852,2:29,
5,2024-10-17,7:00 PM,Away,Montreal Canadiens,4,1,W,,2,1,2,W 1,21105,2:30,
6,2024-10-20,8:00 PM,Away,Anaheim Ducks,4,1,W,,3,1,2,W 2,16098,2:22,
7,2024-10-22,11:00 PM,Away,Vegas Golden Knights,1,6,L,,3,2,2,L 1,17767,2:27,
8,2024-10-24,10:30 PM,Home,San Jose Sharks,3,2,W,,4,2,2,W 1,18146,2:30,
9,2024-10-26,4:00 PM,Home,Utah Hockey Club,3,2,W,,5,2,2,W 2,15116,2:30,
10,2024-10-29,10:00 PM,Away,San Jose Sharks,2,4,L,,5,3,2,L 1,10818,2:26,
11,2024-10-30,10:00 PM,Home,Vegas Golden Knights,6,3,W,,6,3,2,W 1,15007,2:27,
12,2024-11-02,4:00 PM,Home,Chicago Blackhawks,3,4,L,SO,6,3,3,L 1,17314,2:33,
13,2024-11-04,8:00 PM,Away,Nashville Predators,3,0,W,,7,3,3,W 1,17168,2:30,
14,2024-11-05,8:00 PM,Away,Minnesota Wild,5,1,W,,8,3,3,W 2,17617,2:30,
15,2024-11-07,10:30 PM,Home,Vancouver Canucks,2,4,L,,8,4,3,L 1,17855,2:24,
16,2024-11-09,9:00 PM,Home,Columbus Blue Jackets,5,2,W,,9,4,3,W 1,18145,2:24,
17,2024-11-11,8:30 PM,Away,Calgary Flames,1,3,L,,9,5,3,L 1,16920,2:27,
18,2024-11-13,10:00 PM,Away,Colorado Avalanche,2,4,L,,9,6,3,L 2,18059,2:28,
19,2024-11-16,8:00 PM,Home,Detroit Red Wings,4,1,W,,10,6,3,W 1,18145,2:28,
20,2024-11-20,10:30 PM,Home,Buffalo Sabres,0,1,L,,10,7,3,L 1,16778,2:24,
21,2024-11-23,4:00 PM,Home,Seattle Kraken,2,1,W,,11,7,3,W 1,18145,2:20,
22,2024-11-25,10:30 PM,Away,San Jose Sharks,2,7,L,,11,8,3,L 1,10713,2:27,
23,2024-11-27,10:00 PM,Home,Winnipeg Jets,4,1,W,,12,8,3,W 1,17395,2:29,
24,2024-11-29,3:30 PM,Away,Anaheim Ducks,2,1,W,,13,8,3,W 2,17174,2:25,
25,2024-11-30,7:00 PM,Home,Ottawa Senators,5,2,W,,14,8,3,W 3,16808,2:24,
26,2024-12-04,10:00 PM,Home,Dallas Stars,3,2,W,,15,8,3,W 4,15010,2:22,
27,2024-12-07,8:00 PM,Home,Minnesota Wild,4,1,W,,16,8,3,W 5,18145,2:24,
28,2024-12-10,7:30 PM,Away,New York Islanders,3,1,W,,17,8,3,W 6,15402,2:15,
29,2024-12-12,7:00 PM,Away,New Jersey Devils,1,3,L,,17,9,3,L 1,15051,2:21,
30,2024-12-14,1:00 PM,Away,New York Rangers,5,1,W,,18,9,3,W 1,18006,2:25,
31,2024-12-17,7:00 PM,Away,Pittsburgh Penguins,2,3,L,OT,18,9,4,L 1,15011,2:28,
