Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-10,8:00 PM,Home,Columbus Blue Jackets,3,2,W,,1,0,0,W 1,18613,2:29,
2,2024-10-12,8:00 PM,Home,Seattle Kraken,4,5,L,SO,1,0,1,L 1,18421,2:43,
3,2024-10-13,6:00 PM,Away,Winnipeg Jets,1,2,L,OT,1,0,2,L 2,12916,2:28,
4,2024-10-15,7:30 PM,Away,St. Louis Blues,4,1,W,,2,0,2,W 1,18096,2:25,
5,2024-10-19,7:00 PM,Away,Columbus Blue Jackets,3,1,W,,3,0,2,W 2,16876,2:25,
6,2024-10-22,6:30 PM,Away,Florida Panthers,5,1,W,,4,0,2,W 3,18264,2:22,
7,2024-10-24,7:00 PM,Away,Tampa Bay Lightning,4,2,W,,5,0,2,W 4,19092,2:29,
8,2024-10-26,1:00 PM,Away,Philadelphia Flyers,5,7,L,,5,1,2,L 1,18238,2:33,
9,2024-10-29,7:00 PM,Away,Pittsburgh Penguins,5,3,W,,6,1,2,W 1,18195,2:28,
10,2024-11-01,8:00 PM,Home,Tampa Bay Lightning,5,3,W,,7,1,2,W 2,18104,2:27,
11,2024-11-03,6:00 PM,Home,Toronto Maple Leafs,2,1,W,OT,8,1,2,W 3,18096,2:31,
12,2024-11-05,8:00 PM,Home,Los Angeles Kings,1,5,L,,8,2,2,L 1,17617,2:30,
13,2024-11-07,10:30 PM,Away,San Jose Sharks,5,2,W,,9,2,2,W 1,10526,2:28,
14,2024-11-08,10:00 PM,Away,Anaheim Ducks,5,2,W,,10,2,2,W 2,14706,2:22,
15,2024-11-10,7:00 PM,Away,Chicago Blackhawks,1,2,L,OT,10,2,3,L 1,19657,2:25,
16,2024-11-14,8:00 PM,Home,Montreal Canadiens,3,0,W,,11,2,3,W 1,17012,2:25,
17,2024-11-16,8:00 PM,Home,Dallas Stars,1,2,L,,11,3,3,L 1,18143,2:23,
18,2024-11-19,8:00 PM,Away,St. Louis Blues,4,2,W,,12,3,3,W 1,16463,2:30,
19,2024-11-21,9:00 PM,Away,Edmonton Oilers,5,3,W,,13,3,3,W 2,18347,2:39,
20,2024-11-23,4:00 PM,Away,Calgary Flames,3,4,L,SO,13,3,4,L 1,17116,2:35,
21,2024-11-25,8:00 PM,Home,Winnipeg Jets,1,4,L,,13,4,4,L 2,17686,2:27,
22,2024-11-27,7:00 PM,Away,Buffalo Sabres,1,0,W,,14,4,4,W 1,17326,2:24,
23,2024-11-29,2:00 PM,Home,Chicago Blackhawks,3,2,W,,15,4,4,W 2,18532,2:19,
24,2024-11-30,8:00 PM,Home,Nashville Predators,3,2,W,OT,16,4,4,W 3,19064,2:22,
25,2024-12-03,8:00 PM,Home,Vancouver Canucks,3,2,W,OT,17,4,4,W 4,18076,2:30,
26,2024-12-06,10:00 PM,Away,Anaheim Ducks,5,1,W,,18,4,4,W 5,15171,2:28,
27,2024-12-07,8:00 PM,Away,Los Angeles Kings,1,4,L,,18,5,4,L 1,18145,2:24,
28,2024-12-10,9:30 PM,Away,Utah Hockey Club,5,4,W,SO,19,5,4,W 1,11131,2:46,
29,2024-12-12,8:30 PM,Home,Edmonton Oilers,1,7,L,,19,6,4,L 1,18394,2:23,
30,2024-12-14,2:00 PM,Home,Philadelphia Flyers,4,1,W,,20,6,4,W 1,18076,2:27,
31,2024-12-15,6:00 PM,Home,Vegas Golden Knights,2,3,L,,20,7,4,L 1,18771,2:34,
32,2024-12-18,9:30 PM,Home,Florida Panthers,1,6,L,,20,8,4,L 2,17423,2:39,
33,2024-12-20,8:00 PM,Home,Utah Hockey Club,1,2,L,,20,9,4,L 3,18088,2:24,
34,2024-12-21,7:00 PM,Away,Winnipeg Jets,0,5,L,,20,10,4,L 4,15225,2:19,
35,2024-12-23,8:00 PM,Home,Chicago Blackhawks,4,3,W,,21,10,4,W 1,19067,2:20,
36,2024-12-27,8:00 PM,Away,Dallas Stars,3,2,W,OT,22,10,4,W 2,18532,2:25,
37,2024-12-29,8:00 PM,Home,Ottawa Senators,1,3,L,,22,11,4,L 1,18989,2:31,
38,2024-12-31,8:00 PM,Home,Nashville Predators,5,3,W,,23,11,4,W 1,19145,2:38,
39,2025-01-02,7:00 PM,Away,Washington Capitals,4,3,W,SO,24,11,4,W 2,18573,2:37,
40,2025-01-04,7:00 PM,Away,Carolina Hurricanes,4,0,W,,25,11,4,W 3,18903,2:32,
41,2025-01-07,8:00 PM,Home,St. Louis Blues,6,4,W,,26,11,4,W 4,18464,2:24,
42,2025-01-09,8:00 PM,Home,Colorado Avalanche,1,6,L,,26,12,4,L 1,18979,2:25,
43,2025-01-11,10:00 PM,Away,San Jose Sharks,3,1,W,,27,12,4,W 1,17435,2:22,
44,2025-01-12,8:00 PM,Away,Vegas Golden Knights,1,4,L,,27,13,4,L 1,17921,2:25,
45,2025-01-15,8:30 PM,Home,Edmonton Oilers,3,5,L,,27,14,4,L 2,18212,2:30,
46,2025-01-18,8:00 PM,Away,Nashville Predators,2,6,L,,27,15,4,L 3,17615,2:39,
47,2025-01-20,3:00 PM,Away,Colorado Avalanche,3,1,W,,28,15,4,W 1,18072,2:33,
48,2025-01-23,8:00 PM,Home,Utah Hockey Club,0,4,L,,28,16,4,L 1,18071,2:22,
49,2025-01-25,7:00 PM,Home,Calgary Flames,4,5,L,,28,17,4,L 2,19212,2:34,
50,2025-01-26,7:00 PM,Away,Chicago Blackhawks,4,2,W,,29,17,4,W 1,18701,2:31,
51,2025-01-29,7:00 PM,Away,Toronto Maple Leafs,3,1,W,,30,17,4,W 2,18544,2:22,
52,2025-01-30,7:00 PM,Away,Montreal Canadiens,4,0,W,,31,17,4,W 3,21105,2:16,
53,2025-02-01,7:00 PM,Away,Ottawa Senators,0,6,L,,31,18,4,L 1,18822,2:35,
54,2025-02-04,7:00 PM,Away,Boston Bruins,0,3,L,,31,19,4,L 2,17850,2:29,
55,2025-02-06,7:30 PM,Home,Carolina Hurricanes,2,1,W,,32,19,4,W 1,18273,2:26,
