Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-09,7:00 PM,Home,Toronto Maple Leafs,1,0,W,,1,0,0,W 1,21105,2:18,
2,2024-10-10,7:00 PM,Away,Boston Bruins,4,6,L,,1,1,0,L 1,17850,2:44,
3,2024-10-12,7:00 PM,Home,Ottawa Senators,4,1,W,,2,1,0,W 1,21105,2:31,
4,2024-10-14,7:30 PM,Home,Pittsburgh Penguins,3,6,L,,2,2,0,L 1,21105,2:22,
5,2024-10-17,7:00 PM,Home,Los Angeles Kings,1,4,L,,2,3,0,L 2,21105,2:30,
6,2024-10-19,7:00 PM,Away,New York Islanders,3,4,L,SO,2,3,1,L 3,15411,2:46,
7,2024-10-22,7:15 PM,Home,New York Rangers,2,7,L,,2,4,1,L 4,21105,2:28,
8,2024-10-26,7:00 PM,Home,St. Louis Blues,5,2,W,,3,4,1,W 1,21105,2:26,
9,2024-10-27,7:00 PM,Away,Philadelphia Flyers,4,3,W,,4,4,1,W 2,17440,2:31,
10,2024-10-29,7:00 PM,Home,Seattle Kraken,2,8,L,,4,5,1,L 1,21105,2:37,
11,2024-10-31,7:00 PM,Away,Washington Capitals,3,6,L,,4,6,1,L 2,15789,2:41,
12,2024-11-02,7:00 PM,Away,Pittsburgh Penguins,1,3,L,,4,7,1,L 3,17362,2:27,
13,2024-11-05,7:00 PM,Home,Calgary Flames,2,3,L,OT,4,7,2,L 4,21105,2:34,
14,2024-11-07,7:00 PM,Away,New Jersey Devils,3,5,L,,4,8,2,L 5,16514,2:25,
15,2024-11-09,7:00 PM,Away,Toronto Maple Leafs,1,4,L,,4,9,2,L 6,19277,2:32,
16,2024-11-11,12:30 PM,Away,Buffalo Sabres,7,5,W,,5,9,2,W 1,15687,2:35,
17,2024-11-14,8:00 PM,Away,Minnesota Wild,0,3,L,,5,10,2,L 1,17012,2:25,
18,2024-11-16,7:00 PM,Home,Columbus Blue Jackets,5,1,W,,6,10,2,W 1,21105,2:24,
19,2024-11-18,7:30 PM,Home,Edmonton Oilers,3,0,W,,7,10,2,W 2,21105,2:19,
20,2024-11-23,7:00 PM,Home,Vegas Golden Knights,2,6,L,,7,11,2,L 1,21105,2:25,
21,2024-11-26,7:00 PM,Home,Utah Hockey Club,2,3,L,OT,7,11,3,L 2,21105,2:30,
22,2024-11-27,7:30 PM,Away,Columbus Blue Jackets,4,3,W,OT,8,11,3,W 1,15485,2:33,
23,2024-11-30,1:00 PM,Away,New York Rangers,3,4,L,,8,12,3,L 1,18006,2:47,
24,2024-12-01,3:00 PM,Away,Boston Bruins,3,6,L,,8,13,3,L 2,17850,2:33,
25,2024-12-03,7:00 PM,Home,New York Islanders,2,1,W,OT,9,13,3,W 1,21105,2:25,
