Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-10,8:00 PM,Home,Dallas Stars,3,4,L,,0,1,0,L 1,17544,2:32,
2,2024-10-12,7:00 PM,Away,Detroit Red Wings,0,3,L,,0,2,0,L 2,19515,2:37,
3,2024-10-15,8:00 PM,Home,Seattle Kraken,3,7,L,,0,3,0,L 3,17159,2:34,
4,2024-10-17,8:00 PM,Home,Edmonton Oilers,2,4,L,,0,4,0,L 4,17159,2:39,
5,2024-10-19,2:00 PM,Home,Detroit Red Wings,2,5,L,,0,5,0,L 5,17159,2:39,
6,2024-10-22,8:45 PM,Home,Boston Bruins,4,0,W,,1,5,0,W 1,17184,2:26,
7,2024-10-25,8:30 PM,Away,Chicago Blackhawks,3,2,W,,2,5,0,W 2,17787,2:36,
8,2024-10-26,8:00 PM,Home,Columbus Blue Jackets,4,3,W,OT,3,5,0,W 3,17159,2:31,
9,2024-10-28,7:30 PM,Away,Tampa Bay Lightning,2,3,L,OT,3,5,1,L 1,19092,2:39,
10,2024-10-31,8:00 PM,Home,Edmonton Oilers,1,5,L,,3,6,1,L 2,17159,2:24,
11,2024-11-02,8:00 PM,Home,Colorado Avalanche,5,2,W,,4,6,1,W 1,17213,2:31,
12,2024-11-04,8:00 PM,Home,Los Angeles Kings,0,3,L,,4,7,1,L 1,17168,2:30,
13,2024-11-06,7:00 PM,Away,Washington Capitals,2,3,L,,4,8,1,L 2,17177,2:44,
14,2024-11-07,7:00 PM,Away,Florida Panthers,2,6,L,,4,9,1,L 3,18264,2:38,
15,2024-11-09,8:00 PM,Home,Utah Hockey Club,4,0,W,,5,9,1,W 1,17159,2:27,
16,2024-11-11,9:00 PM,Away,Colorado Avalanche,2,3,L,OT,5,9,2,L 1,18016,2:30,
17,2024-11-14,9:00 PM,Away,Edmonton Oilers,2,3,L,OT,5,9,3,L 2,18347,2:33,
18,2024-11-15,9:00 PM,Away,Calgary Flames,0,2,L,,5,10,3,L 3,17900,2:44,
19,2024-11-17,10:00 PM,Away,Vancouver Canucks,5,3,W,,6,10,3,W 1,18587,2:20,
20,2024-11-20,10:00 PM,Away,Seattle Kraken,0,3,L,,6,11,3,L 1,17151,2:31,
21,2024-11-23,7:00 PM,Home,Winnipeg Jets,4,1,W,,7,11,3,W 1,17159,2:28,
22,2024-11-25,7:00 PM,Away,New Jersey Devils,2,5,L,,7,12,3,L 1,16514,2:31,
23,2024-11-27,8:00 PM,Home,Philadelphia Flyers,2,3,L,OT,7,12,4,L 2,17159,2:29,
24,2024-11-29,3:00 PM,Home,Tampa Bay Lightning,2,3,L,OT,7,12,5,L 3,18228,2:32,
25,2024-11-30,8:00 PM,Away,Minnesota Wild,2,3,L,OT,7,12,6,L 4,19064,2:22,
26,2024-12-04,7:30 PM,Away,Toronto Maple Leafs,2,3,L,,7,13,6,L 5,18611,2:26,
27,2024-12-05,7:00 PM,Away,Montreal Canadiens,0,3,L,,7,14,6,L 6,21105,2:29,
28,2024-12-07,7:00 PM,Away,Ottawa Senators,1,3,L,,7,15,6,L 7,16741,2:37,
29,2024-12-10,8:00 PM,Home,Calgary Flames,3,4,L,,7,16,6,L 8,17159,2:24,
30,2024-12-12,8:00 PM,Away,Dallas Stars,4,1,W,,8,16,6,W 1,18532,2:29,
31,2024-12-14,9:00 PM,Away,Colorado Avalanche,2,5,L,,8,17,6,L 1,18049,2:36,
32,2024-12-17,8:00 PM,Home,New York Rangers,2,0,W,,9,17,6,W 1,17159,2:29,
33,2024-12-19,8:00 PM,Home,Pittsburgh Penguins,4,5,L,OT,9,17,7,L 1,17159,2:30,
34,2024-12-21,1:30 PM,Home,Los Angeles Kings,3,2,W,OT,10,17,7,W 1,17159,2:23,
35,2024-12-23,8:00 PM,Home,Carolina Hurricanes,5,2,W,,11,17,7,W 2,17159,2:28,
36,2024-12-27,8:00 PM,Away,St. Louis Blues,4,7,L,,11,18,7,L 1,18096,2:39,
37,2024-12-30,7:30 PM,Away,Winnipeg Jets,0,3,L,,11,19,7,L 2,15225,2:26,
38,2024-12-31,8:00 PM,Away,Minnesota Wild,3,5,L,,11,20,7,L 3,19145,2:38,
39,2025-01-03,10:00 PM,Away,Vancouver Canucks,3,0,W,,12,20,7,W 1,18894,2:24,
40,2025-01-04,10:00 PM,Away,Calgary Flames,4,1,W,,13,20,7,W 2,17893,2:34,
41,2025-01-07,8:00 PM,Away,Winnipeg Jets,2,5,L,,13,21,7,L 1,13105,2:27,
42,2025-01-11,8:00 PM,Home,Washington Capitals,1,4,L,,13,22,7,L 2,17159,2:28,
43,2025-01-14,8:00 PM,Home,Vegas Golden Knights,5,3,W,,14,22,7,W 1,17159,2:27,
44,2025-01-16,8:00 PM,Home,Chicago Blackhawks,3,2,W,SO,15,22,7,W 2,17159,2:45,
45,2025-01-18,8:00 PM,Home,Minnesota Wild,6,2,W,,16,22,7,W 3,17615,2:39,
46,2025-01-21,8:00 PM,Home,San Jose Sharks,7,5,W,,17,22,7,W 4,17159,2:34,
47,2025-01-23,10:30 PM,Away,San Jose Sharks,6,5,W,,18,22,7,W 5,11292,2:44,
48,2025-01-25,10:00 PM,Away,Anaheim Ducks,2,5,L,,18,23,7,L 1,15748,2:31,
49,2025-01-29,9:00 PM,Home,Vancouver Canucks,1,3,L,,18,24,7,L 2,17159,2:22,
50,2025-01-31,7:00 PM,Away,Buffalo Sabres,3,4,L,,18,25,7,L 3,18347,2:26,
