Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-10,7:30 PM,Home,Utah Hockey Club,4,5,L,OT,0,0,1,L 1,17255,2:41,
2,2024-10-12,8:00 PM,Away,Dallas Stars,0,3,L,,0,1,1,L 2,18532,2:25,
3,2024-10-14,9:00 PM,Away,Colorado Avalanche,6,2,W,,1,1,1,W 1,18017,2:41,
4,2024-10-17,8:00 PM,Away,St. Louis Blues,0,1,L,OT,1,1,2,L 1,17109,2:20,
5,2024-10-19,7:00 PM,Home,Montreal Canadiens,4,3,W,SO,2,1,2,W 1,15411,2:46,
6,2024-10-22,7:45 PM,Home,Detroit Red Wings,0,1,L,,2,2,2,L 1,12739,2:28,
7,2024-10-25,7:00 PM,Away,New Jersey Devils,4,3,W,OT,3,2,2,W 1,14870,2:33,
8,2024-10-26,7:30 PM,Home,Florida Panthers,3,6,L,,3,3,2,L 1,15807,2:31,
9,2024-10-29,7:00 PM,Home,Anaheim Ducks,1,3,L,,3,4,2,L 2,14234,2:27,
10,2024-10-30,7:00 PM,Away,Columbus Blue Jackets,0,2,L,,3,5,2,L 3,14015,2:19,
11,2024-11-01,7:00 PM,Away,Buffalo Sabres,4,3,W,,4,5,2,W 1,17074,2:33,
12,2024-11-03,1:00 PM,Away,New York Rangers,2,5,L,,4,6,2,L 1,18006,2:32,
13,2024-11-05,7:30 PM,Home,Pittsburgh Penguins,4,3,W,SO,5,6,2,W 1,14025,2:45,
14,2024-11-07,7:00 PM,Away,Ottawa Senators,4,2,W,,6,6,2,W 2,15677,2:26,
15,2024-11-09,7:30 PM,Home,New Jersey Devils,3,4,L,OT,6,6,3,L 1,17255,2:25,
16,2024-11-12,9:00 PM,Away,Edmonton Oilers,3,4,L,OT,6,6,4,L 2,18347,2:32,
17,2024-11-14,10:00 PM,Away,Vancouver Canucks,5,2,W,,7,6,4,W 1,18728,2:34,
18,2024-11-16,4:00 PM,Away,Seattle Kraken,2,3,L,,7,7,4,L 1,17151,2:29,
19,2024-11-19,9:00 PM,Away,Calgary Flames,1,2,L,SO,7,7,5,L 2,16565,2:39,
20,2024-11-21,7:00 PM,Away,Detroit Red Wings,1,2,L,,7,8,5,L 3,19013,2:21,
21,2024-11-23,7:30 PM,Home,St. Louis Blues,3,1,W,,8,8,5,W 1,17255,2:25,
22,2024-11-25,7:30 PM,Home,Detroit Red Wings,2,4,L,,8,9,5,L 1,14900,2:18,
23,2024-11-27,7:30 PM,Home,Boston Bruins,3,6,L,,8,10,5,L 2,16145,2:25,
24,2024-11-29,3:00 PM,Away,Washington Capitals,4,5,L,OT,8,10,6,L 3,18573,2:41,
25,2024-11-30,7:30 PM,Home,Buffalo Sabres,3,0,W,,9,10,6,W 1,16299,2:32,
26,2024-12-03,7:00 PM,Away,Montreal Canadiens,1,2,L,OT,9,10,7,L 1,21105,2:25,
27,2024-12-05,7:30 PM,Home,Seattle Kraken,2,5,L,,9,11,7,L 2,14877,2:24,
28,2024-12-07,5:00 PM,Home,Carolina Hurricanes,4,3,W,,10,11,7,W 1,15619,2:28,
29,2024-12-08,5:00 PM,Away,Ottawa Senators,4,2,W,,11,11,7,W 2,15878,2:23,
30,2024-12-10,7:30 PM,Home,Los Angeles Kings,1,3,L,,11,12,7,L 1,15402,2:15,
31,2024-12-12,7:30 PM,Home,Chicago Blackhawks,5,4,W,,12,12,7,W 1,16170,2:26,
32,2024-12-15,3:00 PM,Away,Chicago Blackhawks,3,5,L,,12,13,7,L 1,19264,2:26,
33,2024-12-17,7:30 PM,Away,Carolina Hurricanes,0,4,L,,12,14,7,L 2,18700,2:25,
34,2024-12-21,7:00 PM,Away,Toronto Maple Leafs,6,3,W,,13,14,7,W 1,18912,2:21,
35,2024-12-23,7:30 PM,Home,Buffalo Sabres,1,7,L,,13,15,7,L 1,17255,2:30,
36,2024-12-28,7:30 PM,Home,Pittsburgh Penguins,6,3,W,,14,15,7,W 1,17255,2:33,
37,2024-12-29,5:30 PM,Away,Pittsburgh Penguins,2,3,L,,14,16,7,L 1,18357,2:33,
38,2024-12-31,1:00 PM,Away,Toronto Maple Leafs,1,3,L,,14,17,7,L 2,18933,2:29,
39,2025-01-02,7:30 PM,Home,Toronto Maple Leafs,1,2,L,,14,18,7,L 3,17255,2:27,
40,2025-01-05,6:00 PM,Away,Boston Bruins,5,4,W,OT,15,18,7,W 1,17850,2:35,
41,2025-01-09,10:00 PM,Away,Vegas Golden Knights,4,0,W,,16,18,7,W 2,17713,2:20,
42,2025-01-11,9:00 PM,Away,Utah Hockey Club,2,1,W,,17,18,7,W 3,11131,2:28,
43,2025-01-14,7:30 PM,Home,Ottawa Senators,0,2,L,,17,19,7,L 1,15101,2:33,
44,2025-01-16,7:30 PM,Home,Philadelphia Flyers,3,5,L,,17,20,7,L 2,15761,2:32,
