Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-09,7:30 PM,Away,Pittsburgh Penguins,6,0,W,,1,0,0,W 1,18190,2:29,
2,2024-10-12,7:00 PM,Home,Utah Hockey Club,5,6,L,OT,1,0,1,L 1,18006,2:45,
3,2024-10-14,7:00 PM,Home,Detroit Red Wings,4,1,W,,2,0,1,W 1,17510,2:35,
4,2024-10-17,7:30 PM,Away,Detroit Red Wings,5,2,W,,3,0,1,W 2,19515,2:33,
5,2024-10-19,7:00 PM,Away,Toronto Maple Leafs,4,1,W,,4,0,1,W 3,18988,2:24,
6,2024-10-22,7:15 PM,Away,Montreal Canadiens,7,2,W,,5,0,1,W 4,21105,2:28,
7,2024-10-24,7:00 PM,Home,Florida Panthers,1,3,L,,5,1,1,L 1,18006,2:23,
8,2024-10-26,7:00 PM,Home,Anaheim Ducks,2,1,W,,6,1,1,W 1,18006,2:32,
9,2024-10-29,7:30 PM,Away,Washington Capitals,3,5,L,,6,2,1,L 1,17390,2:31,
10,2024-11-01,7:00 PM,Home,Ottawa Senators,2,1,W,,7,2,1,W 1,18006,2:29,
11,2024-11-03,1:00 PM,Home,New York Islanders,5,2,W,,8,2,1,W 2,18006,2:32,
12,2024-11-07,7:00 PM,Home,Buffalo Sabres,1,6,L,,8,3,1,L 1,18006,2:28,
13,2024-11-09,7:00 PM,Away,Detroit Red Wings,4,0,W,,9,3,1,W 1,19515,2:32,
14,2024-11-12,7:00 PM,Home,Winnipeg Jets,3,6,L,,9,4,1,L 1,18006,2:25,
15,2024-11-14,7:00 PM,Home,San Jose Sharks,3,2,W,,10,4,1,W 1,18006,2:26,
16,2024-11-17,9:00 PM,Away,Seattle Kraken,2,0,W,,11,4,1,W 2,17151,2:17,
17,2024-11-19,10:00 PM,Away,Vancouver Canucks,4,3,W,,12,4,1,W 3,18688,2:34,
18,2024-11-21,9:00 PM,Away,Calgary Flames,2,3,L,,12,5,1,L 1,17033,2:33,
19,2024-11-23,10:00 PM,Away,Edmonton Oilers,2,6,L,,12,6,1,L 2,18347,2:22,
20,2024-11-25,7:00 PM,Home,St. Louis Blues,2,5,L,,12,7,1,L 3,18006,2:23,
21,2024-11-27,7:00 PM,Away,Carolina Hurricanes,3,4,L,,12,8,1,L 4,18905,2:24,
22,2024-11-29,1:00 PM,Away,Philadelphia Flyers,1,3,L,,12,9,1,L 5,19346,2:24,
23,2024-11-30,1:00 PM,Home,Montreal Canadiens,4,3,W,,13,9,1,W 1,18006,2:47,
24,2024-12-02,7:00 PM,Home,New Jersey Devils,1,5,L,,13,10,1,L 1,18006,2:32,
25,2024-12-06,7:30 PM,Home,Pittsburgh Penguins,4,2,W,,14,10,1,W 1,18006,2:29,
26,2024-12-08,1:00 PM,Home,Seattle Kraken,5,7,L,,14,11,1,L 1,18006,2:34,
27,2024-12-09,7:00 PM,Home,Chicago Blackhawks,1,2,L,,14,12,1,L 2,18006,2:14,
28,2024-12-11,7:00 PM,Away,Buffalo Sabres,3,2,W,,15,12,1,W 1,15815,2:35,
29,2024-12-14,1:00 PM,Home,Los Angeles Kings,1,5,L,,15,13,1,L 1,18006,2:25,
30,2024-12-15,6:00 PM,Away,St. Louis Blues,2,3,L,,15,14,1,L 2,17569,2:33,
31,2024-12-17,8:00 PM,Away,Nashville Predators,0,2,L,,15,15,1,L 3,17159,2:29,
32,2024-12-20,8:00 PM,Away,Dallas Stars,3,1,W,,16,15,1,W 1,18532,2:35,
33,2024-12-22,12:30 PM,Home,Carolina Hurricanes,1,3,L,,16,16,1,L 1,18006,2:26,
34,2024-12-23,1:00 PM,Away,New Jersey Devils,0,5,L,,16,17,1,L 2,16514,2:23,
35,2024-12-28,7:00 PM,Away,Tampa Bay Lightning,2,6,L,,16,18,1,L 3,19092,2:41,
36,2024-12-30,7:00 PM,Away,Florida Panthers,3,5,L,,16,19,1,L 4,19556,2:30,
37,2025-01-02,7:00 PM,Home,Boston Bruins,2,1,W,,17,19,1,W 1,18006,2:33,
38,2025-01-04,12:00 PM,Away,Washington Capitals,4,7,L,,17,20,1,L 1,18573,2:45,
39,2025-01-05,3:00 PM,Away,Chicago Blackhawks,6,2,W,,18,20,1,W 1,18819,2:31,
40,2025-01-07,7:00 PM,Home,Dallas Stars,4,5,L,OT,18,20,2,L 1,17528,2:30,
41,2025-01-09,7:00 PM,Home,New Jersey Devils,3,2,W,OT,19,20,2,W 1,18006,2:29,
42,2025-01-11,10:00 PM,Away,Vegas Golden Knights,2,1,W,,20,20,2,W 2,18144,2:31,
43,2025-01-14,9:00 PM,Away,Colorado Avalanche,2,3,L,OT,20,20,3,L 1,18037,2:35,
44,2025-01-16,9:00 PM,Away,Utah Hockey Club,5,3,W,,21,20,3,W 1,11131,2:38,
