Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-10,7:00 PM,Home,Florida Panthers,3,1,W,,1,0,0,W 1,19346,2:22,
2,2024-10-12,7:00 PM,Away,Montreal Canadiens,1,4,L,,1,1,0,L 1,21105,2:31,
3,2024-10-14,1:00 PM,Home,Los Angeles Kings,8,7,W,OT,2,1,0,W 1,16788,2:49,
4,2024-10-17,7:00 PM,Home,New Jersey Devils,1,3,L,,2,2,0,L 1,15192,2:21,
5,2024-10-19,1:00 PM,Home,Tampa Bay Lightning,5,4,W,,3,2,0,W 1,16188,2:34,
6,2024-10-22,9:15 PM,Away,Utah Hockey Club,4,0,W,,4,2,0,W 2,11131,2:27,
7,2024-10-25,6:00 PM,Away,Vegas Golden Knights,4,6,L,,4,3,0,L 1,17564,2:37,
8,2024-10-27,9:00 PM,Away,Colorado Avalanche,4,5,L,,4,4,0,L 2,18020,2:33,
9,2024-10-29,7:00 PM,Home,St. Louis Blues,8,1,W,,5,4,0,W 1,15784,2:29,
10,2024-11-01,7:00 PM,Away,New York Rangers,1,2,L,,5,5,0,L 1,18006,2:29,
11,2024-11-02,7:00 PM,Home,Seattle Kraken,3,0,W,,6,5,0,W 1,17274,2:24,
12,2024-11-05,7:00 PM,Away,Buffalo Sabres,1,5,L,,6,6,0,L 1,12260,2:36,
13,2024-11-07,7:00 PM,Home,New York Islanders,2,4,L,,6,7,0,L 2,15677,2:26,
14,2024-11-09,7:00 PM,Away,Boston Bruins,3,2,W,OT,7,7,0,W 1,17850,2:32,
15,2024-11-12,7:00 PM,Away,Toronto Maple Leafs,3,0,W,,8,7,0,W 2,18648,2:33,
16,2024-11-14,7:00 PM,Home,Philadelphia Flyers,4,5,L,OT,8,7,1,L 1,17162,2:34,
17,2024-11-16,7:00 PM,Away,Carolina Hurricanes,0,4,L,,8,8,1,L 2,18808,2:30,
18,2024-11-19,7:00 PM,Home,Edmonton Oilers,2,5,L,,8,9,1,L 3,18676,2:30,
19,2024-11-21,7:00 PM,Home,Vegas Golden Knights,2,3,L,,8,10,1,L 4,16822,2:32,
20,2024-11-23,7:00 PM,Home,Vancouver Canucks,3,4,L,,8,11,1,L 5,18995,2:34,
21,2024-11-25,7:30 PM,Home,Calgary Flames,4,3,W,,9,11,1,W 1,17196,2:40,
22,2024-11-27,10:30 PM,Away,San Jose Sharks,4,3,W,,10,11,1,W 2,10778,2:23,
23,2024-11-30,7:00 PM,Away,Los Angeles Kings,2,5,L,,10,12,1,L 1,16808,2:24,
24,2024-12-01,8:00 PM,Away,Anaheim Ducks,3,4,L,SO,10,12,2,L 2,15144,2:39,
25,2024-12-05,7:00 PM,Home,Detroit Red Wings,2,1,W,,11,12,2,W 1,16739,2:37,
26,2024-12-07,7:00 PM,Home,Nashville Predators,3,1,W,,12,12,2,W 2,16741,2:37,
27,2024-12-08,5:00 PM,Home,New York Islanders,2,4,L,,12,13,2,L 1,15878,2:23,
28,2024-12-11,7:30 PM,Home,Anaheim Ducks,5,1,W,,13,13,2,W 1,16893,2:31,
29,2024-12-13,7:00 PM,Away,Carolina Hurricanes,3,0,W,,14,13,2,W 2,18700,2:31,
30,2024-12-14,7:00 PM,Home,Pittsburgh Penguins,3,2,W,OT,15,13,2,W 3,18892,2:25,
31,2024-12-17,10:00 PM,Away,Seattle Kraken,3,0,W,,16,13,2,W 4,17151,2:23,
32,2024-12-19,9:00 PM,Away,Calgary Flames,3,2,W,OT,17,13,2,W 5,17271,2:35,
33,2024-12-21,10:00 PM,Away,Vancouver Canucks,5,4,W,OT,18,13,2,W 6,18940,2:30,
34,2024-12-22,8:00 PM,Away,Edmonton Oilers,1,3,L,,18,14,2,L 1,18347,2:22,
35,2024-12-28,7:00 PM,Away,Winnipeg Jets,2,4,L,,18,15,2,L 2,14734,2:21,
36,2024-12-29,8:00 PM,Away,Minnesota Wild,3,1,W,,19,15,2,W 1,18989,2:31,
37,2025-01-02,8:00 PM,Away,Dallas Stars,2,4,L,,19,16,2,L 1,18532,2:31,
38,2025-01-03,8:00 PM,Away,St. Louis Blues,0,4,L,,19,17,2,L 2,18096,2:26,
39,2025-01-07,7:00 PM,Away,Detroit Red Wings,2,3,L,OT,19,17,3,L 3,19515,2:33,
40,2025-01-09,7:00 PM,Home,Buffalo Sabres,0,4,L,,19,18,3,L 4,16276,2:29,
41,2025-01-11,4:00 PM,Away,Pittsburgh Penguins,5,0,W,,20,18,3,W 1,18043,2:29,
42,2025-01-12,5:00 PM,Home,Dallas Stars,3,2,W,,21,18,3,W 2,17653,2:31,
43,2025-01-14,7:30 PM,Away,New York Islanders,2,0,W,,22,18,3,W 3,15101,2:33,
44,2025-01-16,7:00 PM,Home,Washington Capitals,0,1,L,OT,22,18,4,L 1,17242,2:23,
45,2025-01-18,3:00 PM,Home,Boston Bruins,6,5,W,SO,23,18,4,W 1,18768,2:56,
46,2025-01-19,1:00 PM,Away,New Jersey Devils,2,1,W,,24,18,4,W 2,16514,2:18,
47,2025-01-21,7:00 PM,Away,New York Rangers,0,5,L,,24,19,4,L 1,17662,2:32,
48,2025-01-23,7:00 PM,Away,Boston Bruins,0,2,L,,24,20,4,L 2,17850,2:27,
49,2025-01-25,7:00 PM,Home,Toronto Maple Leafs,2,1,W,,25,20,4,W 1,18818,2:28,
50,2025-01-26,5:00 PM,Home,Utah Hockey Club,3,1,W,,26,20,4,W 2,16897,2:25,
51,2025-01-30,7:00 PM,Home,Washington Capitals,5,4,W,OT,27,20,4,W 3,18792,2:35,
52,2025-02-01,7:00 PM,Home,Minnesota Wild,6,0,W,,28,20,4,W 4,18822,2:35,
53,2025-02-03,7:30 PM,Away,Nashville Predators,5,2,W,,29,20,4,W 5,17159,2:39,
54,2025-02-04,7:00 PM,Away,Tampa Bay Lightning,3,4,L,,29,21,4,L 1,19092,2:30,
55,2025-02-06,7:00 PM,Away,Tampa Bay Lightning,1,5,L,,29,22,4,L 2,19092,2:32,
56,2025-02-08,7:00 PM,Away,Florida Panthers,1,5,L,,29,23,4,L 3,19660,2:26,
57,2025-02-22,7:00 PM,Home,Montreal Canadiens,2,5,L,,29,24,4,L 4,18840,2:36,
58,2025-02-26,7:00 PM,Home,Winnipeg Jets,1,4,L,,29,25,4,L 5,17831,2:28,
59,2025-03-01,7:00 PM,Home,San Jose Sharks,5,3,W,,30,25,4,W 1,18602,2:32,
60,2025-03-03,6:30 PM,Away,Washington Capitals,4,5,L,SO,30,25,5,L 1,18573,2:59,
61,2025-03-05,7:30 PM,Away,Chicago Blackhawks,4,3,W,OT,31,25,5,W 1,17432,2:20,
62,2025-03-08,12:30 PM,Home,New York Rangers,4,3,W,OT,32,25,5,W 2,18224,2:29,
63,2025-03-10,7:30 PM,Home,Detroit Red Wings,2,1,W,,33,25,5,W 3,18561,2:30,
64,2025-03-11,7:00 PM,Away,Philadelphia Flyers,5,2,W,,34,25,5,W 4,18201,2:25,
65,2025-03-13,7:00 PM,Home,Boston Bruins,6,3,W,,35,25,5,W 5,17458,2:32,
66,2025-03-15,7:00 PM,Away,Toronto Maple Leafs,4,2,W,,36,25,5,W 6,19170,2:33,
67,2025-03-18,7:00 PM,Away,Montreal Canadiens,3,6,L,,36,26,5,L 1,21105,2:30,
68,2025-03-20,7:00 PM,Home,Colorado Avalanche,1,5,L,,36,27,5,L 2,17856,2:22,
69,2025-03-22,7:00 PM,Away,New Jersey Devils,3,2,W,,37,27,5,W 1,16514,2:26,
70,2025-03-25,7:00 PM,Away,Buffalo Sabres,2,3,L,,37,28,5,L 1,13955,2:26,
71,2025-03-27,7:00 PM,Away,Detroit Red Wings,4,3,W,,38,28,5,W 1,19515,2:31,
72,2025-03-29,7:00 PM,Home,Columbus Blue Jackets,3,2,W,,39,28,5,W 2,17758,2:28,
73,2025-03-30,5:00 PM,Away,Pittsburgh Penguins,0,1,L,OT,39,28,6,L 1,16016,2:32,
74,2025-04-01,7:00 PM,Home,Buffalo Sabres,2,5,L,,39,29,6,L 2,16446,2:27,
75,2025-04-03,7:00 PM,Home,Tampa Bay Lightning,2,1,W,,40,29,6,W 1,15187,2:24,
76,2025-04-05,2:00 PM,Home,Florida Panthers,3,0,W,,41,29,6,W 2,18611,2:26,
77,2025-04-06,5:00 PM,Home,Columbus Blue Jackets,4,0,W,,42,29,6,W 3,15616,2:21,
78,2025-04-08,7:00 PM,Away,Columbus Blue Jackets,2,5,L,,42,30,6,L 1,15188,2:29,
79,2025-04-11,7:00 PM,Home,Montreal Canadiens,5,2,W,,43,30,6,W 1,18685,2:35,
80,2025-04-13,1:00 PM,Home,Philadelphia Flyers,4,3,W,OT,44,30,6,W 2,16059,2:28,
81,2025-04-15,7:00 PM,Home,Chicago Blackhawks,3,4,L,OT,44,30,7,L 1,14115,2:29,
82,2025-04-17,7:00 PM,Home,Carolina Hurricanes,7,5,W,,45,30,7,W 1,16193,2:28,
