Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-09,7:30 PM,Home,New York Rangers,0,6,L,,0,1,0,L 1,18190,2:29,
2,2024-10-10,8:00 PM,Away,Detroit Red Wings,6,3,W,,1,1,0,W 1,19515,2:36,
3,2024-10-12,7:00 PM,Away,Toronto Maple Leafs,2,4,L,,1,2,0,L 1,18934,2:21,
4,2024-10-14,7:30 PM,Away,Montreal Canadiens,6,3,W,,2,2,0,W 1,21105,2:22,
5,2024-10-16,7:00 PM,Home,Buffalo Sabres,6,5,W,OT,3,2,0,W 2,15644,2:42,
6,2024-10-18,7:00 PM,Home,Carolina Hurricanes,1,4,L,,3,3,0,L 1,17074,2:24,
7,2024-10-20,3:00 PM,Away,Winnipeg Jets,3,6,L,,3,4,0,L 2,13760,2:27,
8,2024-10-22,9:30 PM,Away,Calgary Flames,3,4,L,SO,3,4,1,L 3,17025,2:52,
9,2024-10-25,9:00 PM,Away,Edmonton Oilers,0,4,L,,3,5,1,L 4,18347,2:25,
10,2024-10-26,10:00 PM,Away,Vancouver Canucks,3,4,L,,3,6,1,L 5,18748,2:25,
11,2024-10-29,7:00 PM,Home,Minnesota Wild,3,5,L,,3,7,1,L 6,18195,2:28,
12,2024-10-31,7:00 PM,Home,Anaheim Ducks,2,1,W,OT,4,7,1,W 1,14945,2:32,
13,2024-11-02,7:00 PM,Home,Montreal Canadiens,3,1,W,,5,7,1,W 2,17362,2:27,
14,2024-11-05,7:30 PM,Away,New York Islanders,3,4,L,SO,5,7,2,L 1,14025,2:45,
15,2024-11-07,7:00 PM,Away,Carolina Hurricanes,1,5,L,,5,8,2,L 2,18700,2:21,
16,2024-11-08,7:30 PM,Away,Washington Capitals,4,2,W,,6,8,2,W 1,18573,2:29,
17,2024-11-11,7:00 PM,Home,Dallas Stars,1,7,L,,6,9,2,L 1,16526,2:19,
18,2024-11-13,7:30 PM,Home,Detroit Red Wings,2,3,L,OT,6,9,3,L 2,15191,2:27,
19,2024-11-15,7:00 PM,Away,Columbus Blue Jackets,2,6,L,,6,10,3,L 3,18348,2:26,
20,2024-11-16,7:00 PM,Home,San Jose Sharks,4,3,W,SO,7,10,3,W 1,18194,2:44,
21,2024-11-19,7:00 PM,Home,Tampa Bay Lightning,2,3,L,OT,7,10,4,L 1,16065,2:26,
22,2024-11-22,7:00 PM,Home,Winnipeg Jets,1,4,L,,7,11,4,L 2,15232,2:27,
23,2024-11-23,7:00 PM,Home,Utah Hockey Club,1,6,L,,7,12,4,L 3,16324,2:32,
24,2024-11-27,7:30 PM,Home,Vancouver Canucks,5,4,W,,8,12,4,W 1,16016,2:20,
25,2024-11-29,6:30 PM,Away,Boston Bruins,2,1,W,,9,12,4,W 2,17850,2:31,
26,2024-11-30,7:00 PM,Home,Calgary Flames,6,2,W,,10,12,4,W 3,16060,2:30,
