Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-08,4:30 PM,Away,Seattle Kraken,3,2,W,,1,0,0,W 1,17151,2:37,
2,2024-10-10,10:30 PM,Away,San Jose Sharks,5,4,W,OT,2,0,0,W 2,17435,2:32,
3,2024-10-11,10:00 PM,Away,Vegas Golden Knights,3,4,L,,2,1,0,L 1,17861,2:25,
4,2024-10-15,7:30 PM,Home,Minnesota Wild,1,4,L,,2,2,0,L 2,18096,2:25,
5,2024-10-17,8:00 PM,Home,New York Islanders,1,0,W,OT,3,2,0,W 1,17109,2:20,
6,2024-10-19,7:00 PM,Home,Carolina Hurricanes,4,3,W,,4,2,0,W 2,18096,2:38,
7,2024-10-22,8:00 PM,Home,Winnipeg Jets,2,3,L,,4,3,0,L 1,17335,2:22,
8,2024-10-24,7:00 PM,Away,Toronto Maple Leafs,5,1,W,,5,3,0,W 1,18414,2:29,
9,2024-10-26,7:00 PM,Away,Montreal Canadiens,2,5,L,,5,4,0,L 1,21105,2:26,
10,2024-10-29,7:00 PM,Away,Ottawa Senators,1,8,L,,5,5,0,L 2,15784,2:29,
11,2024-10-31,7:00 PM,Away,Philadelphia Flyers,1,2,L,,5,6,0,L 3,14122,2:14,
12,2024-11-02,7:00 PM,Home,Toronto Maple Leafs,4,2,W,,6,6,0,W 1,18096,2:25,
13,2024-11-05,8:00 PM,Home,Tampa Bay Lightning,3,2,W,,7,6,0,W 2,17161,2:22,
14,2024-11-07,8:00 PM,Home,Utah Hockey Club,2,4,L,,7,7,0,L 1,17528,2:40,
15,2024-11-09,7:00 PM,Home,Washington Capitals,1,8,L,,7,8,0,L 2,18096,2:26,
16,2024-11-12,8:00 PM,Home,Boston Bruins,2,3,L,,7,9,0,L 3,18096,2:27,
17,2024-11-14,7:30 PM,Away,Buffalo Sabres,3,4,L,OT,7,9,1,L 4,13943,2:38,
18,2024-11-16,1:00 PM,Away,Boston Bruins,3,2,W,OT,8,9,1,W 1,17850,2:39,
19,2024-11-17,5:00 PM,Away,Carolina Hurricanes,1,4,L,,8,10,1,L 1,18797,2:26,
20,2024-11-19,8:00 PM,Home,Minnesota Wild,2,4,L,,8,11,1,L 2,16463,2:30,
21,2024-11-21,8:00 PM,Home,San Jose Sharks,3,2,W,SO,9,11,1,W 1,17273,2:39,
22,2024-11-23,7:30 PM,Away,New York Islanders,1,3,L,,9,12,1,L 1,17255,2:25,
23,2024-11-25,7:00 PM,Away,New York Rangers,5,2,W,,10,12,1,W 1,18006,2:23,
24,2024-11-27,7:00 PM,Away,New Jersey Devils,3,0,W,,11,12,1,W 2,16043,2:24,
25,2024-11-30,7:00 PM,Home,Philadelphia Flyers,2,3,L,OT,11,12,2,L 1,16863,2:25,
26,2024-12-03,8:00 PM,Away,Winnipeg Jets,4,1,W,,12,12,2,W 1,13100,2:23,
27,2024-12-05,9:00 PM,Away,Calgary Flames,4,3,W,OT,13,12,2,W 2,17060,2:44,
28,2024-12-07,10:00 PM,Away,Edmonton Oilers,2,4,L,,13,13,2,L 1,18347,2:28,
29,2024-12-10,10:00 PM,Away,Vancouver Canucks,4,3,W,OT,14,13,2,W 1,18754,2:35,
30,2024-12-12,8:00 PM,Home,San Jose Sharks,3,4,L,,14,14,2,L 1,18096,2:18,
31,2024-12-14,8:00 PM,Away,Dallas Stars,1,2,L,OT,14,14,3,L 2,18532,2:39,
32,2024-12-15,6:00 PM,Home,New York Rangers,3,2,W,,15,14,3,W 1,17569,2:33,
33,2024-12-17,8:00 PM,Home,New Jersey Devils,1,4,L,,15,15,3,L 1,18096,2:37,
34,2024-12-19,7:00 PM,Away,Tampa Bay Lightning,1,3,L,,15,16,3,L 2,19092,2:28,
35,2024-12-20,7:00 PM,Away,Florida Panthers,1,2,L,OT,15,16,4,L 3,18522,2:32,
36,2024-12-23,7:00 PM,Away,Detroit Red Wings,4,0,W,,16,16,4,W 1,19515,2:18,
37,2024-12-27,8:00 PM,Home,Nashville Predators,7,4,W,,17,16,4,W 2,18096,2:39,
38,2024-12-29,3:00 PM,Home,Buffalo Sabres,2,4,L,,17,17,4,L 1,18096,2:28,
39,2024-12-31,5:00 PM,Away,Chicago Blackhawks,6,2,W,,18,17,4,W 1,40933,2:39,"at Wrigley Field (Chicago, IL)"
40,2025-01-03,8:00 PM,Home,Ottawa Senators,4,0,W,,19,17,4,W 2,18096,2:26,
