Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-11,7:00 PM,Away,Carolina Hurricanes,4,1,W,,1,0,0,W 1,18817,2:35,
2,2024-10-15,7:00 PM,Home,Vancouver Canucks,4,1,W,,2,0,0,W 2,19092,2:28,
3,2024-10-17,7:00 PM,Home,Vegas Golden Knights,4,3,W,,3,0,0,W 3,19092,2:22,
4,2024-10-19,1:00 PM,Away,Ottawa Senators,4,5,L,,3,1,0,L 1,16188,2:34,
5,2024-10-21,7:30 PM,Away,Toronto Maple Leafs,2,5,L,,3,2,0,L 2,18356,2:29,
6,2024-10-22,6:45 PM,Away,New Jersey Devils,8,5,W,,4,2,0,W 1,15410,2:42,
7,2024-10-24,7:00 PM,Home,Minnesota Wild,2,4,L,,4,3,0,L 1,19092,2:29,
8,2024-10-26,7:00 PM,Home,Washington Capitals,3,0,W,,5,3,0,W 1,19092,2:37,
9,2024-10-28,7:30 PM,Home,Nashville Predators,3,2,W,OT,6,3,0,W 2,19092,2:39,
10,2024-10-30,9:00 PM,Away,Colorado Avalanche,5,2,W,,7,3,0,W 3,18019,2:31,
11,2024-11-01,8:00 PM,Away,Minnesota Wild,3,5,L,,7,4,0,L 1,18104,2:27,
12,2024-11-03,3:00 PM,Away,Winnipeg Jets,4,7,L,,7,5,0,L 2,12912,2:36,
13,2024-11-05,8:00 PM,Away,St. Louis Blues,2,3,L,,7,6,0,L 3,17161,2:22,
14,2024-11-07,7:30 PM,Home,Philadelphia Flyers,1,2,L,SO,7,6,1,L 4,19092,2:31,
15,2024-11-14,7:00 PM,Home,Winnipeg Jets,4,1,W,,8,6,1,W 1,19092,2:30,
16,2024-11-16,7:00 PM,Home,New Jersey Devils,4,0,W,,9,6,1,W 2,19092,2:33,
17,2024-11-19,7:00 PM,Away,Pittsburgh Penguins,3,2,W,OT,10,6,1,W 3,16065,2:26,
18,2024-11-21,7:00 PM,Away,Columbus Blue Jackets,6,7,L,OT,10,6,2,L 1,16260,2:32,
19,2024-11-23,7:00 PM,Home,Dallas Stars,2,4,L,,10,7,2,L 2,19092,2:34,
20,2024-11-25,7:00 PM,Home,Colorado Avalanche,8,2,W,,11,7,2,W 1,19092,2:26,
21,2024-11-27,7:30 PM,Home,Washington Capitals,4,5,L,,11,8,2,L 1,19092,2:37,
22,2024-11-29,3:00 PM,Away,Nashville Predators,3,2,W,OT,12,8,2,W 1,18228,2:32,
23,2024-11-30,7:00 PM,Home,Toronto Maple Leafs,3,5,L,,12,9,2,L 1,19092,2:35,
24,2024-12-05,7:00 PM,Home,San Jose Sharks,8,1,W,,13,9,2,W 1,19092,2:28,
25,2024-12-08,4:00 PM,Away,Vancouver Canucks,4,2,W,,14,9,2,W 2,18290,2:20,
26,2024-12-10,9:00 PM,Away,Edmonton Oilers,1,2,L,,14,10,2,L 1,18347,2:32,
27,2024-12-12,9:00 PM,Away,Calgary Flames,8,3,W,,15,10,2,W 1,17028,2:30,
28,2024-12-14,10:00 PM,Away,Seattle Kraken,5,1,W,,16,10,2,W 2,17151,2:26,
29,2024-12-17,7:00 PM,Home,Columbus Blue Jackets,5,3,W,,17,10,2,W 3,19092,2:34,
30,2024-12-19,7:00 PM,Home,St. Louis Blues,3,1,W,,18,10,2,W 4,19092,2:28,
31,2024-12-22,5:00 PM,Home,Florida Panthers,2,4,L,,18,11,2,L 1,19092,2:29,
32,2024-12-23,7:00 PM,Away,Florida Panthers,4,0,W,,19,11,2,W 1,19544,2:42,
33,2024-12-28,7:00 PM,Home,New York Rangers,6,2,W,,20,11,2,W 2,19092,2:41,
34,2024-12-29,5:00 PM,Home,Montreal Canadiens,2,5,L,,20,12,2,L 1,19092,2:32,
35,2025-01-02,10:30 PM,Away,San Jose Sharks,1,2,L,,20,13,2,L 2,11103,2:18,
36,2025-01-04,9:00 PM,Away,Los Angeles Kings,1,2,L,,20,14,2,L 3,18145,2:31,
37,2025-01-05,8:00 PM,Away,Anaheim Ducks,1,4,L,,20,15,2,L 4,14208,2:25,
38,2025-01-07,7:00 PM,Home,Carolina Hurricanes,3,2,W,,21,15,2,W 1,19092,2:41,
39,2025-01-09,7:00 PM,Home,Boston Bruins,4,1,W,,22,15,2,W 2,19092,2:44,
40,2025-01-11,7:00 PM,Away,New Jersey Devils,2,3,L,OT,22,15,3,L 1,16514,2:30,
41,2025-01-12,5:00 PM,Away,Pittsburgh Penguins,5,2,W,,23,15,3,W 1,17352,2:21,
42,2025-01-14,7:00 PM,Away,Boston Bruins,2,6,L,,23,16,3,L 1,17850,2:53,
43,2025-01-16,7:00 PM,Home,Anaheim Ducks,4,3,W,SO,24,16,3,W 1,19092,2:42,
44,2025-01-18,7:00 PM,Home,Detroit Red Wings,5,1,W,,25,16,3,W 2,19092,2:34,
45,2025-01-20,7:30 PM,Away,Toronto Maple Leafs,3,5,L,,25,17,3,L 1,19123,2:33,
46,2025-01-21,7:00 PM,Away,Montreal Canadiens,2,3,L,,25,18,3,L 2,21105,2:30,
47,2025-01-24,8:00 PM,Away,Chicago Blackhawks,4,3,W,OT,26,18,3,W 1,18975,2:20,
48,2025-01-25,7:00 PM,Away,Detroit Red Wings,0,2,L,,26,19,3,L 1,19515,2:29,
49,2025-01-28,7:00 PM,Home,Chicago Blackhawks,1,4,L,,26,20,3,L 2,19092,2:34,
50,2025-01-30,7:00 PM,Home,Los Angeles Kings,3,0,W,,27,20,3,W 1,19092,2:32,
51,2025-02-01,7:00 PM,Home,New York Islanders,2,3,L,OT,27,20,4,L 1,19092,2:35,
52,2025-02-04,7:00 PM,Home,Ottawa Senators,4,3,W,,28,20,4,W 1,19092,2:30,
53,2025-02-06,7:00 PM,Home,Ottawa Senators,5,1,W,,29,20,4,W 2,19092,2:32,
54,2025-02-08,1:00 PM,Away,Detroit Red Wings,6,3,W,,30,20,4,W 3,19515,2:28,
55,2025-02-09,1:00 PM,Away,Montreal Canadiens,5,3,W,,31,20,4,W 4,21105,2:37,
56,2025-02-23,6:00 PM,Home,Seattle Kraken,4,1,W,,32,20,4,W 5,19092,2:25,
57,2025-02-25,7:30 PM,Home,Edmonton Oilers,4,1,W,,33,20,4,W 6,19092,2:27,
58,2025-02-27,7:00 PM,Home,Calgary Flames,3,0,W,,34,20,4,W 7,19092,2:27,
59,2025-03-01,12:30 PM,Away,Washington Capitals,3,1,W,,35,20,4,W 8,18573,2:27,
60,2025-03-03,7:00 PM,Away,Florida Panthers,1,2,L,,35,21,4,L 1,19441,2:31,
61,2025-03-04,7:00 PM,Home,Columbus Blue Jackets,6,2,W,,36,21,4,W 1,19092,2:35,
62,2025-03-06,7:00 PM,Home,Buffalo Sabres,6,5,W,,37,21,4,W 2,19092,2:39,
63,2025-03-08,3:00 PM,Home,Boston Bruins,0,4,L,,37,22,4,L 1,19092,2:29,
64,2025-03-11,7:30 PM,Away,Carolina Hurricanes,1,4,L,,37,23,4,L 2,18700,2:26,
65,2025-03-13,7:00 PM,Away,Philadelphia Flyers,3,4,L,SO,37,23,5,L 3,18405,2:40,
66,2025-03-15,7:00 PM,Away,Boston Bruins,6,2,W,,38,23,5,W 1,17850,2:28,
67,2025-03-17,7:00 PM,Home,Philadelphia Flyers,2,0,W,,39,23,5,W 2,19092,2:28,
68,2025-03-20,8:00 PM,Away,Dallas Stars,3,2,W,SO,40,23,5,W 3,18532,2:43,
69,2025-03-22,5:00 PM,Away,Utah Hockey Club,4,6,L,,40,24,5,L 1,11131,2:42,
70,2025-03-23,8:00 PM,Away,Vegas Golden Knights,2,4,L,,40,25,5,L 2,17906,2:38,
71,2025-03-25,7:00 PM,Home,Pittsburgh Penguins,6,1,W,,41,25,5,W 1,19092,2:32,
72,2025-03-27,7:00 PM,Home,Utah Hockey Club,8,0,W,,42,25,5,W 2,19092,2:31,
73,2025-03-29,2:00 PM,Home,New York Islanders,5,3,W,,43,25,5,W 3,19092,2:32,
74,2025-04-01,7:30 PM,Away,New York Islanders,4,1,W,,44,25,5,W 4,14827,2:27,
75,2025-04-03,7:00 PM,Away,Ottawa Senators,1,2,L,,44,26,5,L 1,15187,2:24,
76,2025-04-05,7:00 PM,Away,Buffalo Sabres,2,3,L,SO,44,26,6,L 2,15982,2:37,
77,2025-04-07,7:00 PM,Away,New York Rangers,5,1,W,,45,26,6,W 1,17130,2:25,
78,2025-04-09,7:00 PM,Home,Toronto Maple Leafs,3,4,L,OT,45,26,7,L 1,19092,2:32,
79,2025-04-11,7:00 PM,Home,Detroit Red Wings,3,4,L,OT,45,26,8,L 2,19092,2:33,
80,2025-04-13,6:00 PM,Home,Buffalo Sabres,7,4,W,,46,26,8,W 1,19092,2:34,
81,2025-04-15,7:30 PM,Home,Florida Panthers,5,1,W,,47,26,8,W 2,19092,2:14,
82,2025-04-17,7:00 PM,Away,New York Rangers,0,4,L,,47,27,8,L 1,18006,2:20,
