Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-08,10:00 PM,Home,Chicago Blackhawks,5,2,W,,1,0,0,W 1,11131,2:30,
2,2024-10-10,7:30 PM,Away,New York Islanders,5,4,W,OT,2,0,0,W 2,17255,2:41,
3,2024-10-12,7:00 PM,Away,New York Rangers,6,5,W,OT,3,0,0,W 3,18006,2:45,
4,2024-10-14,1:00 PM,Away,New Jersey Devils,0,3,L,,3,1,0,L 1,16514,2:20,
5,2024-10-16,10:00 PM,Away,Anaheim Ducks,4,5,L,OT,3,1,1,L 2,17245,2:44,
6,2024-10-19,9:00 PM,Home,Boston Bruins,2,1,W,OT,4,1,1,W 1,11131,2:30,
7,2024-10-22,9:15 PM,Home,Ottawa Senators,0,4,L,,4,2,1,L 1,11131,2:27,
8,2024-10-24,9:00 PM,Home,Colorado Avalanche,1,5,L,,4,3,1,L 2,11131,2:28,
9,2024-10-26,4:00 PM,Away,Los Angeles Kings,2,3,L,,4,4,1,L 3,15116,2:30,
10,2024-10-28,9:00 PM,Home,San Jose Sharks,4,5,L,OT,4,4,2,L 4,11131,2:41,
11,2024-10-30,9:30 PM,Home,Calgary Flames,5,1,W,,5,4,2,W 1,11131,2:32,
12,2024-11-02,10:00 PM,Away,Vegas Golden Knights,3,4,L,OT,5,4,3,L 1,18216,2:28,
13,2024-11-05,8:00 PM,Away,Winnipeg Jets,0,3,L,,5,5,3,L 2,12932,2:26,
14,2024-11-07,8:00 PM,Away,St. Louis Blues,4,2,W,,6,5,3,W 1,17528,2:40,
15,2024-11-09,8:00 PM,Away,Nashville Predators,0,4,L,,6,6,3,L 1,17159,2:27,
16,2024-11-13,9:00 PM,Home,Carolina Hurricanes,4,1,W,,7,6,3,W 1,11131,2:41,
17,2024-11-15,9:00 PM,Home,Vegas Golden Knights,2,4,L,,7,7,3,L 1,11131,2:35,
18,2024-11-18,9:00 PM,Home,Washington Capitals,2,6,L,,7,8,3,L 2,11131,2:40,
19,2024-11-21,7:00 PM,Away,Boston Bruins,0,1,L,,7,9,3,L 3,17850,2:34,
20,2024-11-23,7:00 PM,Away,Pittsburgh Penguins,6,1,W,,8,9,3,W 1,16324,2:32,
21,2024-11-24,7:00 PM,Away,Toronto Maple Leafs,2,3,L,,8,10,3,L 1,18641,2:32,
22,2024-11-26,7:00 PM,Away,Montreal Canadiens,3,2,W,OT,9,10,3,W 1,21105,2:30,
23,2024-11-29,9:00 PM,Home,Edmonton Oilers,3,4,L,OT,9,10,4,L 1,11131,2:30,
24,2024-11-30,10:00 PM,Away,Vegas Golden Knights,6,0,W,,10,10,4,W 1,17666,2:22,
25,2024-12-02,9:00 PM,Home,Dallas Stars,1,2,L,,10,11,4,L 1,11131,2:25,
26,2024-12-07,1:00 PM,Away,Buffalo Sabres,5,2,W,,11,11,4,W 1,15071,2:30,
27,2024-12-08,7:30 PM,Away,Philadelphia Flyers,4,2,W,,12,11,4,W 2,17462,2:32,
28,2024-12-10,9:30 PM,Home,Minnesota Wild,4,5,L,SO,12,11,5,L 1,11131,2:46,
29,2024-12-12,9:00 PM,Away,Colorado Avalanche,4,1,W,,13,11,5,W 1,18031,2:24,
30,2024-12-14,10:00 PM,Away,San Jose Sharks,4,3,W,,14,11,5,W 2,17213,2:33,
31,2024-12-18,10:00 PM,Home,Vancouver Canucks,3,2,W,OT,15,11,5,W 3,11131,2:31,
32,2024-12-20,8:00 PM,Away,Minnesota Wild,2,1,W,,16,11,5,W 4,18088,2:24,
33,2024-12-22,5:00 PM,Home,Anaheim Ducks,4,5,L,SO,16,11,6,L 1,11131,2:45,
34,2024-12-23,9:00 PM,Home,Dallas Stars,2,3,L,,16,12,6,L 2,11131,2:27,
35,2024-12-27,9:30 PM,Home,Colorado Avalanche,1,4,L,,16,13,6,L 3,11131,2:33,
36,2024-12-30,8:00 PM,Away,Seattle Kraken,2,5,L,,16,14,6,L 4,17151,2:36,
37,2024-12-31,9:00 PM,Away,Edmonton Oilers,1,4,L,,16,15,6,L 5,18347,2:20,
38,2025-01-02,9:00 PM,Away,Calgary Flames,5,3,W,,17,15,6,W 1,17160,2:28,
39,2025-01-04,8:00 PM,Away,Dallas Stars,2,3,L,OT,17,15,7,L 1,18532,2:25,
40,2025-01-08,10:00 PM,Home,Florida Panthers,1,4,L,,17,16,7,L 2,11131,2:30,
41,2025-01-10,9:00 PM,Home,San Jose Sharks,2,1,W,,18,16,7,W 1,11131,2:28,
42,2025-01-11,9:00 PM,Home,New York Islanders,1,2,L,,18,17,7,L 1,11131,2:28,
43,2025-01-14,9:00 PM,Home,Montreal Canadiens,3,5,L,,18,18,7,L 2,11131,2:36,
44,2025-01-16,9:00 PM,Home,New York Rangers,3,5,L,,18,19,7,L 3,11131,2:38,
45,2025-01-18,9:00 PM,Home,St. Louis Blues,4,2,W,,19,19,7,W 1,11131,2:29,
46,2025-01-20,9:30 PM,Home,Winnipeg Jets,5,2,W,,20,19,7,W 2,11131,2:29,
47,2025-01-23,8:00 PM,Away,Minnesota Wild,4,0,W,,21,19,7,W 3,18071,2:22,
48,2025-01-24,8:00 PM,Away,Winnipeg Jets,2,5,L,,21,20,7,L 1,13878,2:28,
49,2025-01-26,5:00 PM,Away,Ottawa Senators,1,3,L,,21,21,7,L 2,16897,2:25,
50,2025-01-29,9:30 PM,Home,Pittsburgh Penguins,2,3,L,OT,21,21,8,L 3,11131,2:38,
51,2025-01-31,9:00 PM,Home,Columbus Blue Jackets,2,3,L,OT,21,21,9,L 4,11131,2:29,
52,2025-02-02,7:00 PM,Home,St. Louis Blues,1,2,L,,21,22,9,L 5,11131,2:29,
53,2025-02-04,9:00 PM,Home,Philadelphia Flyers,3,2,W,OT,22,22,9,W 1,11131,2:48,
54,2025-02-06,7:00 PM,Away,Columbus Blue Jackets,3,2,W,OT,23,22,9,W 2,18553,2:36,
55,2025-02-08,1:00 PM,Away,Carolina Hurricanes,3,7,L,,23,23,9,L 1,19005,2:36,
56,2025-02-09,12:30 PM,Away,Washington Capitals,5,4,W,SO,24,23,9,W 1,18573,2:40,
57,2025-02-22,9:00 PM,Away,Los Angeles Kings,3,5,L,,24,24,9,L 1,18145,2:37,
58,2025-02-23,8:00 PM,Home,Vancouver Canucks,2,1,W,,25,24,9,W 1,11131,2:29,
59,2025-02-25,9:00 PM,Home,Chicago Blackhawks,2,1,W,,26,24,9,W 2,11131,2:32,
60,2025-02-27,9:00 PM,Home,Minnesota Wild,6,1,W,,27,24,9,W 3,11131,2:29,
61,2025-03-01,9:00 PM,Home,New Jersey Devils,1,3,L,,27,25,9,L 1,11131,2:28,
62,2025-03-06,7:00 PM,Away,Detroit Red Wings,4,2,W,,28,25,9,W 1,19515,2:26,
63,2025-03-07,8:30 PM,Away,Chicago Blackhawks,3,4,L,OT,28,25,10,L 1,19414,2:42,
64,2025-03-10,10:00 PM,Home,Toronto Maple Leafs,3,4,L,SO,28,25,11,L 2,11131,2:50,
65,2025-03-12,10:00 PM,Home,Anaheim Ducks,3,2,W,,29,25,11,W 1,11131,2:29,
66,2025-03-14,10:00 PM,Away,Seattle Kraken,2,4,L,,29,26,11,L 1,17151,2:30,
67,2025-03-16,8:00 PM,Away,Vancouver Canucks,3,1,W,,30,26,11,W 1,18804,2:31,
68,2025-03-18,9:00 PM,Away,Edmonton Oilers,1,7,L,,30,27,11,L 1,18347,2:26,
69,2025-03-20,9:00 PM,Home,Buffalo Sabres,5,2,W,,31,27,11,W 1,11131,2:40,
70,2025-03-22,5:00 PM,Home,Tampa Bay Lightning,6,4,W,,32,27,11,W 2,11131,2:42,
71,2025-03-24,9:00 PM,Home,Detroit Red Wings,1,5,L,,32,28,11,L 1,11131,2:28,
72,2025-03-27,7:00 PM,Away,Tampa Bay Lightning,0,8,L,,32,29,11,L 2,19092,2:31,
73,2025-03-28,7:00 PM,Away,Florida Panthers,1,2,L,OT,32,29,12,L 3,19549,2:28,
74,2025-03-30,4:00 PM,Away,Chicago Blackhawks,5,2,W,,33,29,12,W 1,19153,2:23,
75,2025-04-01,9:00 PM,Home,Calgary Flames,3,1,W,,34,29,12,W 2,11131,2:33,
76,2025-04-03,9:00 PM,Home,Los Angeles Kings,2,4,L,,34,30,12,L 1,11131,2:39,
77,2025-04-05,7:00 PM,Home,Winnipeg Jets,4,1,W,,35,30,12,W 1,11131,2:27,
78,2025-04-08,9:00 PM,Home,Seattle Kraken,7,1,W,,36,30,12,W 2,11131,2:33,
79,2025-04-10,9:00 PM,Home,Nashville Predators,3,4,L,SO,36,30,13,L 1,11131,2:49,
80,2025-04-12,8:00 PM,Away,Dallas Stars,5,3,W,,37,30,13,W 1,18532,2:36,
81,2025-04-14,8:00 PM,Away,Nashville Predators,7,3,W,,38,30,13,W 2,17159,2:43,
82,2025-04-15,8:00 PM,Away,St. Louis Blues,1,6,L,,38,31,13,L 1,18096,2:38,
