Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-09,10:00 PM,Home,Calgary Flames,5,6,L,OT,0,0,1,L 1,18850,2:44,
2,2024-10-11,10:00 PM,Home,Philadelphia Flyers,2,3,L,SO,0,0,2,L 2,18875,2:47,
3,2024-10-15,7:00 PM,Away,Tampa Bay Lightning,1,4,L,,0,1,2,L 3,19092,2:28,
4,2024-10-17,7:00 PM,Away,Florida Panthers,3,2,W,OT,1,1,2,W 1,17865,2:40,
5,2024-10-19,7:00 PM,Away,Philadelphia Flyers,3,0,W,,2,1,2,W 2,19083,2:31,
6,2024-10-22,8:15 PM,Away,Chicago Blackhawks,6,3,W,,3,1,2,W 3,17118,2:32,
7,2024-10-26,10:00 PM,Home,Pittsburgh Penguins,4,3,W,,4,1,2,W 4,18748,2:25,
8,2024-10-28,10:00 PM,Home,Carolina Hurricanes,3,4,L,OT,4,1,3,L 1,18682,2:33,
9,2024-10-30,10:30 PM,Home,New Jersey Devils,0,6,L,,4,2,3,L 2,18717,2:24,
10,2024-11-02,10:00 PM,Away,San Jose Sharks,3,2,W,,5,2,3,W 1,17435,2:20,
11,2024-11-05,10:00 PM,Away,Anaheim Ducks,5,1,W,,6,2,3,W 2,13538,2:30,
12,2024-11-07,10:30 PM,Away,Los Angeles Kings,4,2,W,,7,2,3,W 3,17855,2:24,
13,2024-11-09,10:00 PM,Home,Edmonton Oilers,3,7,L,,7,3,3,L 1,18714,2:31,
14,2024-11-12,10:00 PM,Home,Calgary Flames,3,1,W,,8,3,3,W 1,18781,2:29,
15,2024-11-14,10:00 PM,Home,New York Islanders,2,5,L,,8,4,3,L 1,18728,2:34,
16,2024-11-16,10:00 PM,Home,Chicago Blackhawks,4,1,W,,9,4,3,W 1,18620,2:22,
17,2024-11-17,10:00 PM,Home,Nashville Predators,3,5,L,,9,5,3,L 1,18587,2:20,
18,2024-11-19,10:00 PM,Home,New York Rangers,3,4,L,,9,6,3,L 2,18688,2:34,
19,2024-11-23,7:00 PM,Away,Ottawa Senators,4,3,W,,10,6,3,W 1,18995,2:34,
20,2024-11-26,7:00 PM,Away,Boston Bruins,2,0,W,,11,6,3,W 2,17850,2:36,
21,2024-11-27,7:30 PM,Away,Pittsburgh Penguins,4,5,L,,11,7,3,L 1,16016,2:20,
22,2024-11-29,3:00 PM,Away,Buffalo Sabres,4,3,W,OT,12,7,3,W 1,18059,2:32,
23,2024-12-01,12:30 PM,Away,Detroit Red Wings,5,4,W,OT,13,7,3,W 2,19515,2:42,
24,2024-12-03,8:00 PM,Away,Minnesota Wild,2,3,L,OT,13,7,4,L 1,18076,2:30,
25,2024-12-06,10:00 PM,Home,Columbus Blue Jackets,5,2,W,,14,7,4,W 1,18529,2:34,
26,2024-12-08,4:00 PM,Home,Tampa Bay Lightning,2,4,L,,14,8,4,L 1,18290,2:20,
27,2024-12-10,10:00 PM,Home,St. Louis Blues,3,4,L,OT,14,8,5,L 2,18754,2:35,
28,2024-12-12,10:00 PM,Home,Florida Panthers,4,0,W,,15,8,5,W 1,18614,2:25,
29,2024-12-14,10:00 PM,Home,Boston Bruins,1,5,L,,15,9,5,L 1,18787,2:31,
30,2024-12-16,10:30 PM,Home,Colorado Avalanche,3,1,W,,16,9,5,W 1,18856,2:24,
