Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Gtm,Unnamed: 2_level_0 Date,Unnamed: 3_level_0 Unnamed: 3_level_1,Unnamed: 4_level_0 Opp,Score Rslt,Score GF,Score GA,Score OT,Team SOG,Team PIM,Team PPG,Team PPO,Team SHG,Opponent SOG,Opponent PIM,Opponent PPG,Opponent PPO,Opponent SHG,Advanced (5-on-5) CF,Advanced (5-on-5) CA,Advanced (5-on-5) FF,Advanced (5-on-5) FA
1,1,10/12/2022,@,WSH,W,5,2,,30,8,1,3,0,35,6,0,4,0,0,0,0,0
2,2,10/15/2022,,ARI,W,6,3,,43,13,1,3,0,24,11,1,3,1,0,0,0,0
3,3,10/17/2022,,FLA,W,5,3,,34,12,0,3,0,41,10,0,4,0,0,0,0,0
4,4,10/18/2022,@,OTT,L,5,7,,34,13,1,3,0,31,15,0,2,0,0,0,0,0
5,5,10/20/2022,,ANA,W,2,1,SO,36,8,0,5,0,31,10,0,4,0,0,0,0,0
6,6,10/22/2022,,MIN,W,4,3,OT,43,10,1,5,0,27,10,1,5,1,0,0,0,0
7,7,10/25/2022,,DAL,W,3,1,,29,11,1,4,0,31,13,0,3,0,0,0,0,0
8,8,10/27/2022,,DET,W,5,1,,33,10,3,6,0,29,14,0,5,0,0,0,0,0
9,9,10/28/2022,@,CBJ,W,4,0,,35,6,0,2,1,30,4,0,3,0,0,0,0,0
10,10,11/1/2022,@,PIT,W,6,5,OT,40,8,1,3,0,38,6,0,4,0,0,0,0,0
11,11,11/3/2022,@,NYR,W,5,2,,37,24,0,3,0,20,16,0,2,0,0,0,0,0
12,12,11/5/2022,@,TOR,L,1,2,,21,6,1,3,0,28,6,1,3,0,0,0,0,0
13,13,11/7/2022,,STL,W,3,1,,37,8,2,2,0,27,6,0,3,0,0,0,0,0
14,14,11/10/2022,,CGY,W,3,1,,28,17,0,5,0,32,15,0,6,0,0,0,0,0
15,15,11/12/2022,@,BUF,W,3,1,,30,8,1,3,0,31,8,0,3,1,0,0,0,0
16,16,11/13/2022,,VAN,W,5,2,,33,32,2,6,1,31,22,2,6,0,0,0,0,0
