Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
1,2024-10-09,10:00 PM,Away,Vegas Golden Knights,4,8,L,,0,1,0,L 1,18388,2:27,
2,2024-10-12,9:00 PM,Home,Columbus Blue Jackets,4,6,L,,0,2,0,L 2,18080,2:35,
3,2024-10-14,9:00 PM,Home,New York Islanders,2,6,L,,0,3,0,L 3,18017,2:41,
4,2024-10-16,9:30 PM,Home,Boston Bruins,3,5,L,,0,4,0,L 4,18024,2:34,
5,2024-10-18,9:00 PM,Home,Anaheim Ducks,4,3,W,OT,1,4,0,W 1,18071,2:37,
6,2024-10-20,8:00 PM,Away,San Jose Sharks,4,1,W,,2,4,0,W 2,14125,2:32,
7,2024-10-22,8:30 PM,Away,Seattle Kraken,3,2,W,,3,4,0,W 3,17151,2:24,
8,2024-10-24,9:00 PM,Away,Utah Hockey Club,5,1,W,,4,4,0,W 4,11131,2:28,
9,2024-10-27,9:00 PM,Home,Ottawa Senators,5,4,W,,5,4,0,W 5,18020,2:33,
10,2024-10-28,9:00 PM,Home,Chicago Blackhawks,2,5,L,,5,5,0,L 1,18010,2:25,
11,2024-10-30,9:00 PM,Home,Tampa Bay Lightning,2,5,L,,5,6,0,L 2,18019,2:31,
12,2024-11-02,8:00 PM,Away,Nashville Predators,2,5,L,,5,7,0,L 3,17213,2:31,
13,2024-11-05,9:00 PM,Home,Seattle Kraken,6,3,W,,6,7,0,W 1,18014,2:32,
14,2024-11-07,8:00 PM,Away,Winnipeg Jets,0,1,L,,6,8,0,L 1,12918,2:29,
15,2024-11-09,9:00 PM,Home,Carolina Hurricanes,6,4,W,,7,8,0,W 1,18089,2:38,
16,2024-11-11,9:00 PM,Home,Nashville Predators,3,2,W,OT,8,8,0,W 2,18016,2:30,
17,2024-11-13,10:00 PM,Home,Los Angeles Kings,4,2,W,,9,8,0,W 3,18059,2:28,
18,2024-11-15,9:00 PM,Home,Washington Capitals,2,5,L,,9,9,0,L 1,18083,2:32,
19,2024-11-18,7:00 PM,Away,Philadelphia Flyers,3,2,W,,10,9,0,W 1,18930,2:37,
20,2024-11-21,7:00 PM,Away,Washington Capitals,2,1,W,,11,9,0,W 2,17414,2:36,
21,2024-11-23,6:00 PM,Away,Florida Panthers,7,4,W,,12,9,0,W 3,18638,2:35,
22,2024-11-25,7:00 PM,Away,Tampa Bay Lightning,2,8,L,,12,10,0,L 1,19092,2:26,
23,2024-11-27,10:00 PM,Home,Vegas Golden Knights,2,1,W,SO,13,10,0,W 1,18078,2:38,
24,2024-11-29,9:00 PM,Away,Dallas Stars,3,5,L,,13,11,0,L 1,18532,2:35,
25,2024-11-30,10:00 PM,Home,Edmonton Oilers,1,4,L,,13,12,0,L 2,18080,2:27,
26,2024-12-03,7:00 PM,Away,Buffalo Sabres,5,4,W,,14,12,0,W 1,14942,2:27,
27,2024-12-05,7:00 PM,Away,Carolina Hurricanes,3,5,L,,14,13,0,L 1,18700,2:28,
28,2024-12-07,7:00 PM,Away,Detroit Red Wings,2,1,W,,15,13,0,W 1,19515,2:29,
29,2024-12-08,7:00 PM,Away,New Jersey Devils,4,0,W,,16,13,0,W 2,15044,2:24,
30,2024-12-10,7:00 PM,Away,Pittsburgh Penguins,6,2,W,,17,13,0,W 3,15632,2:33,
31,2024-12-12,9:00 PM,Home,Utah Hockey Club,1,4,L,,17,14,0,L 1,18031,2:24,
32,2024-12-14,9:00 PM,Home,Nashville Predators,5,2,W,,18,14,0,W 1,18049,2:36,
33,2024-12-16,10:30 PM,Away,Vancouver Canucks,1,3,L,,18,15,0,L 1,18856,2:24,
34,2024-12-19,10:30 PM,Away,San Jose Sharks,4,2,W,,19,15,0,W 1,12517,2:37,
